global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,516.7491,6.097844,,,,,,,,,,,
1,,,6.109228727952489,6.167542957887646,83274637.0,6.0549652388157895,95000000.0,20.095224142074585,802.123473405838,20.095224142074585,782.0281999111176,0.0,0.0
1,516.5079,6.0985355,,,,,,,,,,,
2,516.38184,4.8296266,,,,,,,,,,,
3,480.2088,2.6128933,,,,,,,,,,,
4,170.25449,0.47416243,,,,,,,,,,,
5,10.324518,0.16680087,,,,,,,,,,,
6,18.065369,0.27758813,,,,,,,,,,,
7,18.306267,0.41954875,,,,,,,,,,,
8,17.746037,0.5522347,,,,,,,,,,,
9,17.75779,0.69478315,,,,,,,,,,,
10,17.853636,0.83938813,,,,,,,,,,,
11,17.527237,0.96308637,,,,,,,,,,,
12,17.485441,1.0926664,,,,,,,,,,,
13,17.888453,1.2389356,,,,,,,,,,,
14,17.61595,1.3426987,,,,,,,,,,,
15,18.165611,1.509902,,,,,,,,,,,
16,17.885784,1.5975816,,,,,,,,,,,
17,17.560997,1.669469,,,,,,,,,,,
18,17.872992,1.7984763,,,,,,,,,,,
19,16.756338,1.75313,,,,,,,,,,,
20,16.671778,1.7822932,,,,,,,,,,,
21,17.046225,1.8423644,,,,,,,,,,,
22,16.956179,1.8329836,,,,,,,,,,,
23,17.356869,1.8694539,,,,,,,,,,,
24,17.625193,1.878231,,,,,,,,,,,
25,17.263773,1.8069489,,,,,,,,,,,
26,17.28903,1.7635907,,,,,,,,,,,
27,17.626152,1.7414026,,,,,,,,,,,
28,17.396248,1.6588197,,,,,,,,,,,
29,17.494919,1.6122714,,,,,,,,,,,
30,17.828909,1.5737998,,,,,,,,,,,
31,17.81601,1.4839821,,,,,,,,,,,
32,17.82805,1.3830023,,,,,,,,,,,
33,18.256496,1.2930876,,,,,,,,,,,
34,17.981134,1.1518055,,,,,,,,,,,
35,17.621756,1.0377107,,,,,,,,,,,
36,18.078684,0.9328263,,,,,,,,,,,
37,18.043333,0.78918177,,,,,,,,,,,
38,18.364504,0.645815,,,,,,,,,,,
39,18.558,0.48131433,,,,,,,,,,,
40,18.882225,0.30444828,,,,,,,,,,,
41,3.2643287,0.14933735,,,,,,,,,,,
42,499.36108,1.9016956,,,,,,,,,,,
43,14.967111,0.16891183,,,,,,,,,,,
44,19.489763,0.25314003,,,,,,,,,,,
45,20.576883,0.35138196,,,,,,,,,,,
46,20.536633,0.43279514,,,,,,,,,,,
47,20.698273,0.51269263,,,,,,,,,,,
48,21.020298,0.5910438,,,,,,,,,,,
49,21.023045,0.6541058,,,,,,,,,,,
50,21.105942,0.7122334,,,,,,,,,,,
51,21.445665,0.7735332,,,,,,,,,,,
52,21.89301,0.8301195,,,,,,,,,,,
53,23.13315,0.9103114,,,,,,,,,,,
54,25.095839,1.012382,,,,,,,,,,,
55,24.823616,1.01753,,,,,,,,,,,
56,25.807753,1.0635971,,,,,,,,,,,
57,25.21054,1.0316612,,,,,,,,,,,
58,26.139965,1.0518252,,,,,,,,,,,
59,26.352022,1.0291909,,,,,,,,,,,
60,27.485235,1.0231405,,,,,,,,,,,
61,27.983988,0.97703564,,,,,,,,,,,
62,28.199406,0.9044375,,,,,,,,,,,
63,28.869566,0.8286904,,,,,,,,,,,
64,29.099186,0.72693115,,,,,,,,,,,
65,29.768297,0.6241589,,,,,,,,,,,
66,29.854303,0.48425987,,,,,,,,,,,
67,31.154055,0.34136575,,,,,,,,,,,
68,16.04913,0.17592813,,,,,,,,,,,
69,538.44617,1.1870497,,,,,,,,,,,
70,30.239647,0.25425634,,,,,,,,,,,
71,32.01746,0.34397843,,,,,,,,,,,
72,32.54517,0.42251998,,,,,,,,,,,
73,31.087599,0.46269715,,,,,,,,,,,
74,31.931623,0.52546275,,,,,,,,,,,
75,31.95062,0.5639941,,,,,,,,,,,
76,32.88937,0.6078606,,,,,,,,,,,
77,33.34437,0.63106376,,,,,,,,,,,
78,33.956665,0.6443529,,,,,,,,,,,
79,34.28578,0.63857114,,,,,,,,,,,
80,34.382423,0.61439013,,,,,,,,,,,
81,35.38182,0.59086597,,,,,,,,,,,
82,34.67005,0.52393687,,,,,,,,,,,
83,35.36914,0.46459037,,,,,,,,,,,
84,35.562077,0.38203597,,,,,,,,,,,
85,35.224262,0.28365767,,,,,,,,,,,
86,26.790936,0.18037474,,,,,,,,,,,
87,177.19736,0.28977922,,,,,,,,,,,
88,25.47166,0.16311857,,,,,,,,,,,
89,30.08917,0.16613077,,,,,,,,,,,
90,9.537078,0.15546733,,,,,,,,,,,
91,6.004273,0.15599927,,,,,,,,,,,
92,4.0137815,0.15113845,,,,,,,,,,,
93,3.0210133,0.15095666,,,,,,,,,,,
94,1.770848,0.1484752,,,,,,,,,,,
95,1.8089321,0.14873213,,,,,,,,,,,
96,1.6450309,0.1497715,,,,,,,,,,,
97,0.8806089,0.14844386,,,,,,,,,,,
98,0.7820651,0.14820366,,,,,,,,,,,
99,1.4076364,0.14565694,,,,,,,,,,,
100,2.3196836,0.14811468,,,,,,,,,,,
181,,,1.0292331924978293,1.0355964892257652,83274637.0,1.0667826981085526,95000000.0,140.2082736492157,1478.591975927353,140.2082736492157,1338.3536128997805,0.0251774787902832,0.0
360,,,0.1461367437487128,0.1441645352804119,83274637.0,0.1475941744037829,95000000.0,260.5102393627167,2143.8023307323456,260.5102393627167,1883.2365686893463,0.0453038215637207,0.0
500,1.0439312,0.13358565,,,,,,,,,,,
543,,,0.1408584550866541,0.1370924884480433,83274637.0,0.1404736340974506,95000000.0,381.20074915885925,2795.7803695201874,381.20074915885925,2414.499015808105,0.0649452209472656,0.0
719,,,0.1346092497777639,0.1344230321067025,83274637.0,0.1371794584189967,95000000.0,501.219598531723,3421.111014842987,501.219598531723,2919.7799072265625,0.0905008316040039,0.0
898,,,0.132715326856892,0.1334579582886683,83274637.0,0.135808149270148,95000000.0,621.8137724399567,3981.2682223320007,621.8137724399567,3359.313163995743,0.1148374080657959,0.0
1000,0.077625,0.13420369,,,,,,,,,,,
1075,,,0.134810209133715,0.1330240080707286,83274637.0,0.1357075390213815,95000000.0,742.4888572692871,4426.727645158768,742.4888572692871,3684.071851730346,0.1351523399353027,0.0
1246,,,0.1316567547853638,0.1324533089078491,83274637.0,0.135096893852796,95000000.0,862.8673768043518,4673.351754188538,862.8673768043518,3810.291472196579,0.1557672023773193,0.0
1420,,,0.1310764599427487,0.1324713890489549,83274637.0,0.1349765927425986,95000000.0,983.6590650081636,4917.13800907135,983.6590650081636,3933.256739139557,0.1793334484100341,0.0
1500,0.09725404,0.12794474,,,,,,,,,,,
1593,,,0.1317302388308933,0.1320736700381834,83274637.0,0.1345820564555921,95000000.0,1104.4129085540771,5160.142123937607,1104.4129085540771,4055.4788019657135,0.2014212608337402,0.0
1763,,,0.1310514054677021,0.1321719327657501,83274637.0,0.1348121776726973,95000000.0,1225.1209287643433,5401.911085367203,1225.1209287643433,4176.51301908493,0.2222332954406738,0.0
1937,,,0.1300252479202342,0.1315101436775101,83274637.0,0.1340973121916118,95000000.0,1345.2244369983673,5643.257565021515,1345.2244369983673,4297.729638576508,0.2428886890411377,0.0
2000,0.0039615524,0.12539822,,,,,,,,,,,
2106,,,0.1306348914901415,0.131581524486261,83274637.0,0.1340616879728618,95000000.0,1465.9347670078278,5901.933885574341,1465.9347670078278,4435.667479753494,0.2652931213378906,0.0
