global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,110.81027,0.28088924,,,,,,,,,,,
1,,,0.2794709736071292,0.276957174228661,83274637.0,0.2779962760279605,95000000.0,22.50787854194641,790.8110022544861,22.50787854194641,768.303056716919,0.0,0.0
1,110.66567,0.2793324,,,,,,,,,,,
2,11.026252,0.27414972,,,,,,,,,,,
3,10.353672,0.21537553,,,,,,,,,,,
4,74.56938,0.3841973,,,,,,,,,,,
5,4.724766,0.27653253,,,,,,,,,,,
6,4.7537804,0.2772411,,,,,,,,,,,
7,3.767667,0.18916553,,,,,,,,,,,
8,30.027706,0.3614658,,,,,,,,,,,
9,1.6526492,0.2506392,,,,,,,,,,,
10,1.2592775,0.27568692,,,,,,,,,,,
11,1.0700402,0.26987213,,,,,,,,,,,
12,0.99849993,0.25878206,,,,,,,,,,,
13,0.92743194,0.23074616,,,,,,,,,,,
14,0.87698996,0.20917018,,,,,,,,,,,
15,0.71912247,0.18055172,,,,,,,,,,,
16,0.5043892,0.16459885,,,,,,,,,,,
17,0.060543843,0.15276715,,,,,,,,,,,
18,0.7058919,0.16294745,,,,,,,,,,,
19,0.62081486,0.16115178,,,,,,,,,,,
20,0.29916134,0.15592548,,,,,,,,,,,
21,0.08672707,0.15243363,,,,,,,,,,,
22,0.057076503,0.15161595,,,,,,,,,,,
23,0.12530442,0.15218376,,,,,,,,,,,
24,0.12863724,0.15092829,,,,,,,,,,,
25,0.09403497,0.1493986,,,,,,,,,,,
26,0.021718696,0.1378544,,,,,,,,,,,
27,0.036987986,0.136615,,,,,,,,,,,
28,0.032721136,0.13707209,,,,,,,,,,,
29,0.035730086,0.13561974,,,,,,,,,,,
30,0.021588035,0.13708223,,,,,,,,,,,
31,0.027904505,0.13678764,,,,,,,,,,,
32,0.015575773,0.13598183,,,,,,,,,,,
33,0.013941947,0.1345019,,,,,,,,,,,
34,0.018652748,0.13576567,,,,,,,,,,,
35,0.022664718,0.1385857,,,,,,,,,,,
36,0.015283145,0.1395504,,,,,,,,,,,
37,0.041302342,0.13730434,,,,,,,,,,,
38,0.01394353,0.13691448,,,,,,,,,,,
39,0.020755721,0.13435394,,,,,,,,,,,
40,0.01563937,0.1350203,,,,,,,,,,,
41,0.01247514,0.13663101,,,,,,,,,,,
42,0.025846014,0.13533184,,,,,,,,,,,
43,0.011314825,0.1359989,,,,,,,,,,,
44,0.021152183,0.13606246,,,,,,,,,,,
45,0.040522736,0.13987474,,,,,,,,,,,
46,0.09105108,0.1391784,,,,,,,,,,,
47,0.1211103,0.14176948,,,,,,,,,,,
48,0.16325358,0.14083943,,,,,,,,,,,
49,0.16557473,0.13866635,,,,,,,,,,,
50,0.124621704,0.1390776,,,,,,,,,,,
51,0.1306454,0.13965604,,,,,,,,,,,
52,0.14909333,0.14098053,,,,,,,,,,,
53,0.16234668,0.1402675,,,,,,,,,,,
54,0.19356991,0.14010449,,,,,,,,,,,
55,0.20559809,0.13862765,,,,,,,,,,,
56,0.15687788,0.13995597,,,,,,,,,,,
57,0.14538294,0.13922705,,,,,,,,,,,
58,0.18590549,0.1368982,,,,,,,,,,,
59,0.18962003,0.13651523,,,,,,,,,,,
60,0.15113957,0.13770323,,,,,,,,,,,
61,0.14120063,0.13669437,,,,,,,,,,,
62,0.1814366,0.13831426,,,,,,,,,,,
63,0.22221687,0.1410406,,,,,,,,,,,
64,0.39478555,0.13634652,,,,,,,,,,,
65,0.40733376,0.14364408,,,,,,,,,,,
66,0.0278731,0.1326889,,,,,,,,,,,
67,0.111573115,0.13417226,,,,,,,,,,,
68,0.040637527,0.13162932,,,,,,,,,,,
69,0.03971416,0.13230145,,,,,,,,,,,
70,0.017581673,0.1308789,,,,,,,,,,,
71,0.033983212,0.12949762,,,,,,,,,,,
72,0.039069664,0.13064417,,,,,,,,,,,
73,0.08109639,0.12845477,,,,,,,,,,,
74,0.093948185,0.12745824,,,,,,,,,,,
75,0.13184597,0.12777597,,,,,,,,,,,
76,0.18656859,0.13006963,,,,,,,,,,,
77,0.3166212,0.12877978,,,,,,,,,,,
78,0.38117892,0.13608572,,,,,,,,,,,
79,0.18488124,0.12847982,,,,,,,,,,,
80,0.15472315,0.12718894,,,,,,,,,,,
81,0.24842362,0.12762716,,,,,,,,,,,
82,0.26859307,0.12954675,,,,,,,,,,,
83,0.22048534,0.13124467,,,,,,,,,,,
84,0.21222576,0.13133264,,,,,,,,,,,
85,0.17237005,0.13263066,,,,,,,,,,,
86,0.1452258,0.13151677,,,,,,,,,,,
87,0.15489729,0.13107127,,,,,,,,,,,
88,0.1332577,0.13011819,,,,,,,,,,,
89,0.098926224,0.13136074,,,,,,,,,,,
90,0.07294333,0.13103142,,,,,,,,,,,
91,0.09764761,0.12923811,,,,,,,,,,,
92,0.101597056,0.1315679,,,,,,,,,,,
93,0.11062062,0.13069464,,,,,,,,,,,
94,0.08107717,0.12789628,,,,,,,,,,,
95,0.07597775,0.12590328,,,,,,,,,,,
96,0.09918101,0.12990889,,,,,,,,,,,
97,0.120131314,0.12877259,,,,,,,,,,,
98,0.116401784,0.12709723,,,,,,,,,,,
99,0.104997866,0.12758872,,,,,,,,,,,
100,0.11570423,0.12856914,,,,,,,,,,,
500,0.025002772,0.119149156,,,,,,,,,,,
1000,0.011714999,0.1249035,,,,,,,,,,,
1500,0.012216176,0.12367776,,,,,,,,,,,
1628,,,0.1233144176175009,0.1259228484669798,83274637.0,0.1285238505756579,95000000.0,1223.0022394657135,2569.092211723328,1223.0022394657135,1346.0121476650238,0.0256497859954834,0.0
2000,0.009333625,0.121588565,,,,,,,,,,,
2500,0.010887806,0.12600271,,,,,,,,,,,
3000,0.004068958,0.11725353,,,,,,,,,,,
3255,,,0.1222765801837609,0.1251108604915023,83274637.0,0.127436289895148,95000000.0,2423.571115732193,4351.347690105438,2423.571115732193,1927.625338315964,0.046931505203247,0.0
3500,0.006903955,0.1273537,,,,,,,,,,,
4000,0.0042636846,0.125179,,,,,,,,,,,
4500,0.0029542772,0.11571285,,,,,,,,,,,
4873,,,0.1237271045270206,0.1246584446421844,83274637.0,0.1268636642475329,95000000.0,3624.193957090378,6085.485552072525,3624.193957090378,2461.0660376548767,0.0688593387603759,0.0
5000,0.009246242,0.12936966,,,,,,,,,,,
5500,0.0031096144,0.1183673,,,,,,,,,,,
6000,0.0027842198,0.1241979,,,,,,,,,,,
6500,,,0.1232163001250171,0.1242653692928286,83274637.0,0.1265818964638158,95000000.0,4824.240904569626,7841.23161315918,4824.240904569626,3016.6875755786896,0.0937163829803466,0.0
6500,0.0028249247,0.11937634,,,,,,,,,,,
7000,0.0028653815,0.12264982,,,,,,,,,,,
7500,0.002298022,0.11760855,,,,,,,,,,,
8000,0.0037247175,0.13481207,,,,,,,,,,,
8127,,,0.1231090612475227,0.1237562371669359,83274637.0,0.1261015959703947,95000000.0,6024.753791093826,9479.876306295397,6024.753791093826,3454.746017217636,0.1142771244049072,0.0
8500,0.0026462055,0.116283566,,,,,,,,,,,
9000,0.0025760343,0.12298119,,,,,,,,,,,
9500,0.005281294,0.12323397,,,,,,,,,,,
9740,,,0.1224389355043945,0.1237562371669359,83274637.0,0.1261015959703947,95000000.0,7225.158451557159,11009.255403518677,7225.158451557159,3783.647702217102,0.1348562240600586,0.0
10000,0.0035572546,0.12652585,,,,,,,,,,,
10389,,,,,,,,7703.492749214172,,,,,0.0
