global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,16.235172,0.60315865,,,,,,,,,,,
1,,,0.6008674404906027,0.6015239482520951,83274637.0,0.6020814077302632,95000000.0,12.463748216629028,797.9065113067627,12.463748216629028,785.4427063465118,0.0,0.0
1,16.275684,0.60341907,,,,,,,,,,,
2,15.808929,0.5851134,,,,,,,,,,,
3,14.9890995,0.5551233,,,,,,,,,,,
4,13.9092245,0.51524717,,,,,,,,,,,
5,12.586838,0.46777934,,,,,,,,,,,
6,11.112627,0.41837174,,,,,,,,,,,
7,9.480998,0.36823156,,,,,,,,,,,
8,7.869089,0.3201568,,,,,,,,,,,
9,6.3210607,0.27640635,,,,,,,,,,,
10,4.879838,0.23966941,,,,,,,,,,,
11,3.6437824,0.20891456,,,,,,,,,,,
12,2.558866,0.18560043,,,,,,,,,,,
13,1.6794689,0.1702541,,,,,,,,,,,
14,0.9915286,0.15888047,,,,,,,,,,,
15,0.45439792,0.15527289,,,,,,,,,,,
16,0.17985828,0.15033908,,,,,,,,,,,
17,0.34226158,0.15208578,,,,,,,,,,,
18,0.5974757,0.15802324,,,,,,,,,,,
19,0.7599117,0.16137388,,,,,,,,,,,
20,0.87238103,0.16585927,,,,,,,,,,,
21,1.003497,0.17576373,,,,,,,,,,,
22,1.072338,0.1816743,,,,,,,,,,,
23,1.1457227,0.19049656,,,,,,,,,,,
24,1.1926155,0.19767798,,,,,,,,,,,
25,1.202551,0.20116189,,,,,,,,,,,
26,1.257923,0.2109589,,,,,,,,,,,
27,1.2898965,0.21827058,,,,,,,,,,,
28,1.3252218,0.22662519,,,,,,,,,,,
29,1.2915553,0.22370668,,,,,,,,,,,
30,1.310168,0.22933078,,,,,,,,,,,
31,1.3178809,0.2328869,,,,,,,,,,,
32,1.3431113,0.23909488,,,,,,,,,,,
33,1.3521452,0.24256738,,,,,,,,,,,
34,1.3685904,0.24687889,,,,,,,,,,,
35,1.4760156,0.26573908,,,,,,,,,,,
36,1.4471529,0.26174873,,,,,,,,,,,
37,1.4455107,0.26201022,,,,,,,,,,,
38,1.4483294,0.26220483,,,,,,,,,,,
39,1.4054054,0.25519776,,,,,,,,,,,
40,1.3713084,0.24911435,,,,,,,,,,,
41,1.3622963,0.2470515,,,,,,,,,,,
42,1.2999588,0.23630962,,,,,,,,,,,
43,1.3176131,0.23853011,,,,,,,,,,,
44,1.2467053,0.2260322,,,,,,,,,,,
45,1.1986691,0.21805274,,,,,,,,,,,
46,1.1498134,0.21066928,,,,,,,,,,,
47,1.0873573,0.20140941,,,,,,,,,,,
48,1.0279045,0.19323309,,,,,,,,,,,
49,0.9445824,0.18336989,,,,,,,,,,,
50,0.8707992,0.17618215,,,,,,,,,,,
51,0.78904337,0.17003144,,,,,,,,,,,
52,0.73529094,0.16998577,,,,,,,,,,,
53,0.5923581,0.15962881,,,,,,,,,,,
54,0.5159663,0.15875848,,,,,,,,,,,
55,0.37506223,0.15606643,,,,,,,,,,,
56,0.20438206,0.15364644,,,,,,,,,,,
57,0.08081973,0.15333965,,,,,,,,,,,
58,0.25012764,0.15255597,,,,,,,,,,,
59,0.44989863,0.15533412,,,,,,,,,,,
60,0.66306055,0.1562566,,,,,,,,,,,
61,0.79987705,0.15942907,,,,,,,,,,,
62,0.88229173,0.16006973,,,,,,,,,,,
63,0.8779002,0.16131717,,,,,,,,,,,
64,0.8499718,0.15686056,,,,,,,,,,,
65,0.7125281,0.15627779,,,,,,,,,,,
66,0.55336267,0.1535069,,,,,,,,,,,
67,0.39476848,0.14942533,,,,,,,,,,,
68,0.19821694,0.14855793,,,,,,,,,,,
69,0.070101045,0.1517052,,,,,,,,,,,
70,0.1424044,0.14653738,,,,,,,,,,,
71,0.28825486,0.15094323,,,,,,,,,,,
72,0.36340544,0.15162642,,,,,,,,,,,
73,0.32209983,0.14497852,,,,,,,,,,,
74,0.35272455,0.14565068,,,,,,,,,,,
75,0.36963192,0.14672928,,,,,,,,,,,
76,0.3450332,0.1452137,,,,,,,,,,,
77,0.31148535,0.1446513,,,,,,,,,,,
78,0.28489244,0.14559174,,,,,,,,,,,
79,0.21879803,0.14520803,,,,,,,,,,,
80,0.13743961,0.1423883,,,,,,,,,,,
81,0.0828248,0.14422482,,,,,,,,,,,
82,0.04599537,0.14159441,,,,,,,,,,,
83,0.0880025,0.14228673,,,,,,,,,,,
84,0.12662096,0.14213453,,,,,,,,,,,
85,0.14408092,0.14130113,,,,,,,,,,,
86,0.13686469,0.1398563,,,,,,,,,,,
87,0.084859036,0.14095208,,,,,,,,,,,
88,0.036014903,0.1410662,,,,,,,,,,,
89,0.028611762,0.13887364,,,,,,,,,,,
90,0.07531364,0.14022407,,,,,,,,,,,
91,0.08562579,0.1400545,,,,,,,,,,,
92,0.11201896,0.14600873,,,,,,,,,,,
93,0.06796175,0.14365374,,,,,,,,,,,
94,0.02728327,0.1409482,,,,,,,,,,,
95,0.028582962,0.14341852,,,,,,,,,,,
96,0.036236305,0.1412995,,,,,,,,,,,
97,0.035121314,0.14163472,,,,,,,,,,,
98,0.020046944,0.14292255,,,,,,,,,,,
99,0.022606703,0.14243828,,,,,,,,,,,
100,0.022046529,0.14197885,,,,,,,,,,,
178,,,0.1297216620647682,0.1300946712904164,83274637.0,0.1328938428865131,95000000.0,132.72535252571106,1465.9911518096924,132.72535252571106,1333.2372405529022,0.0232110023498535,0.0
359,,,0.1291310335011602,0.1278238986236889,83274637.0,0.1305242459189967,95000000.0,253.3798632621765,2130.6220512390137,253.3798632621765,1877.1873936653133,0.0436921119689941,0.0
500,0.02302962,0.11890172,,,,,,,,,,,
543,,,0.1266666023798708,0.1274639998299392,83274637.0,0.1301410346011513,95000000.0,373.7734949588776,2818.4320437908173,373.7734949588776,2444.577140808105,0.0641529560089111,0.0
722,,,0.12666317867408,0.127342614440787,83274637.0,0.1297351219572368,95000000.0,494.456018447876,3438.876784324646,494.456018447876,2944.3139193058014,0.0837454795837402,0.0
900,,,0.1270764740476818,0.1265515058437,83274637.0,0.1290892679790296,95000000.0,615.0073156356812,3989.5051074028015,615.0073156356812,3374.362794399261,0.1059229373931884,0.0
1000,0.013772169,0.12352353,,,,,,,,,,,
1076,,,0.1251410908013019,0.1263368000518873,83274637.0,0.1289586296669408,95000000.0,735.4950034618378,4426.981655359268,735.4950034618378,3691.323450565338,0.1282687187194824,0.0
1250,,,0.127463309457467,0.1261732077465405,83274637.0,0.1286723219366776,95000000.0,855.9807455539703,4664.579290390015,855.9807455539703,3808.4084117412567,0.1489911079406738,0.0
1419,,,0.1251429899964692,0.1267318513555183,83274637.0,0.1296490405838815,95000000.0,976.6953589916228,4904.199893951416,976.6953589916228,3927.287402868271,0.1698434352874755,0.0
1500,0.017279884,0.12219593,,,,,,,,,,,
1593,,,0.124680313674159,0.1260833680611691,83274637.0,0.1285917501233552,95000000.0,1096.9748780727386,5142.452356338501,1096.9748780727386,4045.228600502014,0.1953687667846679,0.0
1761,,,0.1235689209223543,0.1262578045202856,83274637.0,0.1286595256373355,95000000.0,1217.0965530872345,5379.471857070923,1217.0965530872345,4162.097407817841,0.2183303833007812,0.0
1931,,,0.12435986865429,0.1259153654619053,83274637.0,0.1283586414884868,95000000.0,1337.7251658439636,5643.682898283005,1337.7251658439636,4305.653298139572,0.238795518875122,0.0
2000,0.026611444,0.12181924,,,,,,,,,,,
2100,,,0.1229142637091612,0.1258613759496934,83274637.0,0.128204704348273,95000000.0,1457.8536732196808,5918.096968412399,1457.8536732196808,4459.907658815384,0.2638049125671386,0.0
2268,,,0.1238237278266522,0.1255956776003418,83274637.0,0.1280529490131579,95000000.0,1578.0095241069794,6183.900935649872,1578.0095241069794,4605.528385639191,0.2852022647857666,0.0
2437,,,0.1234465860908136,0.1252855585567578,83274637.0,0.1277579322779605,95000000.0,1698.187510251999,6457.83521270752,1698.187510251999,4759.258464574814,0.3052043914794922,0.0
2500,0.005519091,0.12940592,,,,,,,,,,,
2604,,,0.1223550859206127,0.1255957238516692,83274637.0,0.1278899383943256,95000000.0,1818.5135910511017,6725.854421854019,1818.5135910511017,4906.920119047165,0.330573558807373,0.0
2772,,,0.1249645870624098,0.1255404939970648,83274637.0,0.1280375599300987,95000000.0,1938.6138694286344,7001.023332118988,1938.6138694286344,5061.959703922272,0.3535680770874023,0.0
2942,,,0.1241019747260981,0.1255229327057889,83274637.0,0.1278756830386513,95000000.0,2059.7532625198364,7274.913640975952,2059.7532625198364,5214.683004617691,0.3750703334808349,0.0
3000,0.017312206,0.12452255,,,,,,,,,,,
3114,,,0.1238393500072401,0.1253213192293771,83274637.0,0.1277907135176809,95000000.0,2180.626472234726,7545.171762943268,2180.626472234726,5364.038871049881,0.3980789184570312,0.0
3280,,,0.1243842654164482,0.1253703843824621,83274637.0,0.1278306266344572,95000000.0,2301.02455163002,7815.312426805496,2301.02455163002,5513.755568742752,0.4181158542633056,0.0
3458,,,0.1232365085362638,0.1252682842019623,83274637.0,0.1276778966899671,95000000.0,2421.952827692032,8086.93297958374,2421.952827692032,5664.419347047806,0.4402065277099609,0.0
3500,0.00555345,0.12946478,,,,,,,,,,,
3626,,,0.1242742240428924,0.1250132132912359,83274637.0,0.1273840916529605,95000000.0,2542.134447813034,8353.920348882675,2542.134447813034,5811.194124698639,0.4652845859527588,0.0
3795,,,0.1242155942995593,0.1249796242263265,83274637.0,0.1274917381270559,95000000.0,2662.538522720337,8614.375497341156,2662.538522720337,5951.215406179428,0.4889626502990722,0.0
3963,,,0.1215670564733211,0.1251213023150134,83274637.0,0.1274699986842105,95000000.0,2782.567374229431,8877.751650094986,2782.567374229431,6094.535807847977,0.5098962783813477,0.0
4000,0.0092186155,0.11637421,,,,,,,,,,,
4134,,,0.1226094906341354,0.1247323373295671,83274637.0,0.1271499596628289,95000000.0,2902.959949016571,9139.23431301117,2902.959949016571,6235.5994119644165,0.5304808616638184,0.0
4303,,,0.1220146398874198,0.1249931361341449,83274637.0,0.1273612897203947,95000000.0,3023.275255918503,9408.028228521349,3023.275255918503,6384.048043727875,0.554480791091919,0.0
4472,,,0.1232290872893993,0.1247869132860945,83274637.0,0.1272033984683388,95000000.0,3143.847748994828,9680.55193400383,3143.847748994828,6535.971926212311,0.5756454467773438,0.0
4500,0.008420504,0.12418867,,,,,,,,,,,
4639,,,0.1225161139132841,0.1249675421224742,83274637.0,0.1274104169202302,95000000.0,3264.3826990127563,9945.339216947556,3264.3826990127563,6680.196882486343,0.5970909595489502,0.0
