global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,7.904787,0.8742879,,,,,,,,,,,,,,
1,,,0.307696989604405,0.9020264489310128,0.2992487420643993,0.902259667803883,3554.0,0.3234499899643954,0.9004504841088383,3581.0,59.66749906539917,265.98641085624695,59.66749906539917,206.3184998035431,0.0,0.0
1,7.9295163,0.84262615,,,,,,,,,,,,,,
2,7.638016,0.87689185,,,,,,,,,,,,,,
3,7.4749146,0.9361433,,,,,,,,,,,,,,
4,7.2790327,0.8512167,,,,,,,,,,,,,,
5,6.35056,0.83994544,,,,,,,,,,,,,,
6,6.596821,0.75937355,,,,,,,,,,,,,,
7,5.974836,0.7721074,,,,,,,,,,,,,,
8,5.3664675,0.71624476,,,,,,,,,,,,,,
9,4.6875854,0.61535,,,,,,,,,,,,,,
10,4.116664,0.6166903,,,,,,,,,,,,,,
11,3.703962,0.6162268,,,,,,,,,,,,,,
12,3.5009677,0.57402986,,,,,,,,,,,,,,
13,2.3355236,0.57970303,,,,,,,,,,,,,,
14,2.8369374,0.5151415,,,,,,,,,,,,,,
15,2.4617672,0.49078906,,,,,,,,,,,,,,
16,2.7688787,0.47746652,,,,,,,,,,,,,,
17,1.5263531,0.39118525,,,,,,,,,,,,,,
18,2.15751,0.4179649,,,,,,,,,,,,,,
19,1.6518943,0.37714675,,,,,,,,,,,,,,
20,1.1582955,0.38387698,,,,,,,,,,,,,,
21,0.6252999,0.38705915,,,,,,,,,,,,,,
22,1.0409198,0.3268928,,,,,,,,,,,,,,
23,1.0418161,0.38113087,,,,,,,,,,,,,,
24,0.9827741,0.38890997,,,,,,,,,,,,,,
25,0.87930155,0.42881757,,,,,,,,,,,,,,
26,0.57336277,0.33218324,,,,,,,,,,,,,,
27,0.59676015,0.44944438,,,,,,,,,,,,,,
28,0.44015503,0.36227566,,,,,,,,,,,,,,
29,0.46876147,0.3506985,,,,,,,,,,,,,,
30,0.4650123,0.38742557,,,,,,,,,,,,,,
31,0.45768097,0.42482767,,,,,,,,,,,,,,
32,0.2568213,0.4149335,,,,,,,,,,,,,,
33,0.5112985,0.33492246,,,,,,,,,,,,,,
34,0.4914543,0.45647126,,,,,,,,,,,,,,
