global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,8.49746,0.98926115,,,,,,,,,,,,,,
1,,,0.2011346306119646,1.007012026650565,0.1978683514613815,1.0117642258282922,3554.0,0.2182792912845137,1.0109621935868125,3581.0,57.869542598724365,263.8709526062012,57.869542598724365,206.00096774101257,0.0,0.0
1,8.2704,0.9638377,,,,,,,,,,,,,,
2,7.1321845,0.9416906,,,,,,,,,,,,,,
3,6.8401747,0.9393796,,,,,,,,,,,,,,
4,7.6892195,0.8519628,,,,,,,,,,,,,,
5,5.967619,0.8258213,,,,,,,,,,,,,,
6,4.3343134,0.8226041,,,,,,,,,,,,,,
7,3.5746288,0.69085747,,,,,,,,,,,,,,
8,2.1814523,0.6939459,,,,,,,,,,,,,,
9,1.686214,0.5860843,,,,,,,,,,,,,,
10,2.161454,0.58034486,,,,,,,,,,,,,,
11,2.90641,0.52378035,,,,,,,,,,,,,,
12,2.7897058,0.5500785,,,,,,,,,,,,,,
13,2.7906442,0.46494737,,,,,,,,,,,,,,
14,2.2202022,0.5758203,,,,,,,,,,,,,,
15,1.8424299,0.43273574,,,,,,,,,,,,,,
16,1.1977066,0.38153628,,,,,,,,,,,,,,
17,1.0905871,0.37864044,,,,,,,,,,,,,,
18,1.0006808,0.45543,,,,,,,,,,,,,,
19,1.0575808,0.39224342,,,,,,,,,,,,,,
20,1.2147721,0.38070083,,,,,,,,,,,,,,
21,0.65894246,0.45656472,,,,,,,,,,,,,,
22,0.6578139,0.35920396,,,,,,,,,,,,,,
23,0.58367056,0.39519593,,,,,,,,,,,,,,
24,0.35187098,0.3504628,,,,,,,,,,,,,,
25,0.5764313,0.36601675,,,,,,,,,,,,,,
26,0.5337941,0.25584593,,,,,,,,,,,,,,
27,0.36122337,0.29004592,,,,,,,,,,,,,,
28,0.3025798,0.27699795,,,,,,,,,,,,,,
29,0.30464032,0.40517133,,,,,,,,,,,,,,
30,0.34211767,0.33961323,,,,,,,,,,,,,,
31,0.37563193,0.31078678,,,,,,,,,,,,,,
32,0.328023,0.4552592,,,,,,,,,,,,,,
33,0.49328226,0.30349004,,,,,,,,,,,,,,
34,0.75552875,0.4436579,,,,,,,,,,,,,,
35,0.5079914,0.33312514,,,,,,,,,,,,,,
36,0.6455935,0.3876528,,,,,,,,,,,,,,
37,0.2984342,0.3877111,,,,,,,,,,,,,,
38,0.3420031,0.29955974,,,,,,,,,,,,,,
39,0.59748065,0.30235302,,,,,,,,,,,,,,
40,0.6177702,0.28724068,,,,,,,,,,,,,,
41,0.3807111,0.2746871,,,,,,,,,,,,,,
42,0.37115586,0.2746142,,,,,,,,,,,,,,
43,0.6219016,0.34767497,,,,,,,,,,,,,,
44,0.8220051,0.37208128,,,,,,,,,,,,,,
45,0.8436076,0.3140364,,,,,,,,,,,,,,
46,0.47915766,0.37639162,,,,,,,,,,,,,,
47,0.22671942,0.3820576,,,,,,,,,,,,,,
48,0.3718931,0.30842662,,,,,,,,,,,,,,
49,0.49411064,0.35669744,,,,,,,,,,,,,,
50,0.6266808,0.41542774,,,,,,,,,,,,,,
51,1.0608295,0.36822757,,,,,,,,,,,,,,
52,0.72751915,0.3378136,,,,,,,,,,,,,,
53,0.1614546,0.34415102,,,,,,,,,,,,,,
54,0.3841849,0.47266138,,,,,,,,,,,,,,
55,0.48407975,0.40253407,,,,,,,,,,,,,,
56,0.64555955,0.2720121,,,,,,,,,,,,,,
57,0.8618976,0.36406463,,,,,,,,,,,,,,
58,0.7732298,0.2620658,,,,,,,,,,,,,,
59,0.4959032,0.39950296,,,,,,,,,,,,,,
60,0.3935465,0.3018061,,,,,,,,,,,,,,
61,0.6380815,0.28031695,,,,,,,,,,,,,,
62,1.4053371,0.3605242,,,,,,,,,,,,,,
63,1.0150319,0.25180852,,,,,,,,,,,,,,
64,0.6661772,0.29541117,,,,,,,,,,,,,,
65,0.7335971,0.32671455,,,,,,,,,,,,,,
66,0.5522347,0.26409766,,,,,,,,,,,,,,
67,0.5424253,0.31499267,,,,,,,,,,,,,,
