global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.627384,0.70370406,,,,,,,,,,,,,,
1,,,0.2924350670405796,0.7302801949637276,0.2897301085154931,0.7359309327957935,3554.0,0.3106983976302883,0.7356829692517802,3581.0,62.88027858734131,300.52174711227417,62.88027858734131,237.64110112190247,0.0,0.0
1,4.6646047,0.74257314,,,,,,,,,,,,,,
2,1.9953609,0.63391995,,,,,,,,,,,,,,
3,1.595785,0.6591947,,,,,,,,,,,,,,
4,2.0075653,0.5715678,,,,,,,,,,,,,,
5,1.1522394,0.51570994,,,,,,,,,,,,,,
6,1.0884455,0.48630607,,,,,,,,,,,,,,
7,0.7937602,0.53015304,,,,,,,,,,,,,,
8,0.50257874,0.45647106,,,,,,,,,,,,,,
9,0.4191226,0.46598876,,,,,,,,,,,,,,
10,0.42736357,0.4317177,,,,,,,,,,,,,,
11,0.51022375,0.44353342,,,,,,,,,,,,,,
12,0.40014336,0.551836,,,,,,,,,,,,,,
13,0.38521662,0.3954826,,,,,,,,,,,,,,
14,0.448776,0.4242505,,,,,,,,,,,,,,
15,1.4089764,0.43666965,,,,,,,,,,,,,,
16,2.9455967,0.44476864,,,,,,,,,,,,,,
17,2.2660093,0.4085613,,,,,,,,,,,,,,
18,0.73130625,0.36141583,,,,,,,,,,,,,,
19,0.23688346,0.36079073,,,,,,,,,,,,,,
20,0.6046933,0.47872177,,,,,,,,,,,,,,
21,0.5358771,0.373738,,,,,,,,,,,,,,
22,0.2545947,0.3595316,,,,,,,,,,,,,,
23,0.3303205,0.44285873,,,,,,,,,,,,,,
24,0.25633577,0.3808412,,,,,,,,,,,,,,
25,0.17094232,0.37527242,,,,,,,,,,,,,,
26,0.26028606,0.46288806,,,,,,,,,,,,,,
27,0.4967411,0.39309606,,,,,,,,,,,,,,
28,2.3014123,0.32109424,,,,,,,,,,,,,,
29,4.759576,0.48353052,,,,,,,,,,,,,,
30,2.362999,0.43922848,,,,,,,,,,,,,,
31,0.5484689,0.350146,,,,,,,,,,,,,,
32,0.45372415,0.41738868,,,,,,,,,,,,,,
33,0.3067736,0.4642774,,,,,,,,,,,,,,
34,0.4729831,0.50937927,,,,,,,,,,,,,,
35,0.18271944,0.40070137,,,,,,,,,,,,,,
36,0.26777542,0.39120322,,,,,,,,,,,,,,
37,0.23696554,0.43897194,,,,,,,,,,,,,,
38,0.25095007,0.38863465,,,,,,,,,,,,,,
39,0.4276158,0.34387422,,,,,,,,,,,,,,
40,0.3905597,0.36562505,,,,,,,,,,,,,,
41,0.39375588,0.36923182,,,,,,,,,,,,,,
42,0.7355312,0.3693344,,,,,,,,,,,,,,
43,0.4569072,0.35242328,,,,,,,,,,,,,,
44,0.230497,0.36540818,,,,,,,,,,,,,,
45,0.88925505,0.348282,,,,,,,,,,,,,,
46,1.6053808,0.39057702,,,,,,,,,,,,,,
47,0.96135575,0.49175516,,,,,,,,,,,,,,
48,0.12516491,0.4236556,,,,,,,,,,,,,,
49,0.33024472,0.40170535,,,,,,,,,,,,,,
50,0.36443597,0.4298751,,,,,,,,,,,,,,
51,0.44550997,0.37439936,,,,,,,,,,,,,,
52,0.78911966,0.40603122,,,,,,,,,,,,,,
53,1.4957842,0.40620136,,,,,,,,,,,,,,
54,2.5342855,0.46779567,,,,,,,,,,,,,,
55,2.6114779,0.36107665,,,,,,,,,,,,,,
56,1.0378215,0.47110677,,,,,,,,,,,,,,
57,0.27194723,0.43272865,,,,,,,,,,,,,,
58,0.24474417,0.41212344,,,,,,,,,,,,,,
59,0.38911435,0.42503276,,,,,,,,,,,,,,
60,0.51384664,0.34433043,,,,,,,,,,,,,,
61,0.33431455,0.42598534,,,,,,,,,,,,,,
62,0.4182812,0.3858803,,,,,,,,,,,,,,
63,0.84236765,0.42864788,,,,,,,,,,,,,,
64,1.2542958,0.37284973,,,,,,,,,,,,,,
65,0.7246345,0.40460294,,,,,,,,,,,,,,
66,0.28695378,0.32793,,,,,,,,,,,,,,
67,0.34619084,0.35918266,,,,,,,,,,,,,,
68,0.83173585,0.41110417,,,,,,,,,,,,,,
69,1.2308756,0.415392,,,,,,,,,,,,,,
70,1.3106122,0.41302603,,,,,,,,,,,,,,
71,0.47022858,0.31700256,,,,,,,,,,,,,,
72,0.2873991,0.39681226,,,,,,,,,,,,,,
73,0.8124228,0.29749078,,,,,,,,,,,,,,
74,1.3922625,0.45014423,,,,,,,,,,,,,,
75,1.5245814,0.31105173,,,,,,,,,,,,,,
76,1.0905695,0.3619628,,,,,,,,,,,,,,
77,0.52816874,0.33795422,,,,,,,,,,,,,,
78,0.23287274,0.32110384,,,,,,,,,,,,,,
79,0.5055942,0.33826035,,,,,,,,,,,,,,
80,0.23906505,0.30986178,,,,,,,,,,,,,,
81,0.46903026,0.2981757,,,,,,,,,,,,,,
82,0.676404,0.31799975,,,,,,,,,,,,,,
83,0.8074701,0.3032131,,,,,,,,,,,,,,
84,0.8850158,0.34670675,,,,,,,,,,,,,,
