global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.45109087,6.9145555,,,,,,,,,,,,,,
1,,,0.0008968430920504,6.907759666442871,0.0009199999622069,6.907748699188232,50000.0,0.0009000000427477,6.907728672027588,10000.0,39.47880697250366,81.83598804473877,39.47880697250366,42.35707831382752,0.0,0.0
1,0.4924682,6.918041,,,,,,,,,,,,,,
2,0.47176427,6.924528,,,,,,,,,,,,,,
3,0.46407935,6.91628,,,,,,,,,,,,,,
4,0.49309465,6.9148245,,,,,,,,,,,,,,
5,0.4575231,6.914912,,,,,,,,,,,,,,
6,0.46342117,6.915289,,,,,,,,,,,,,,
7,0.4711191,6.9207363,,,,,,,,,,,,,,
8,0.4510431,6.915964,,,,,,,,,,,,,,
9,0.4516165,6.912592,,,,,,,,,,,,,,
10,0.46979997,6.9097557,,,,,,,,,,,,,,
11,0.47978818,6.912377,,,,,,,,,,,,,,
12,0.46869448,6.916291,,,,,,,,,,,,,,
13,0.48758608,6.923866,,,,,,,,,,,,,,
14,0.46783605,6.9163013,,,,,,,,,,,,,,
15,0.46288607,6.9159822,,,,,,,,,,,,,,
16,0.4422927,6.917389,,,,,,,,,,,,,,
17,0.46399873,6.9178553,,,,,,,,,,,,,,
18,0.43755704,6.912883,,,,,,,,,,,,,,
19,0.47034562,6.9188547,,,,,,,,,,,,,,
20,0.45648772,6.915417,,,,,,,,,,,,,,
21,0.46180186,6.909187,,,,,,,,,,,,,,
22,0.45547712,6.9156985,,,,,,,,,,,,,,
23,0.4406197,6.9156003,,,,,,,,,,,,,,
24,0.4743588,6.916828,,,,,,,,,,,,,,
25,0.46365738,6.9163227,,,,,,,,,,,,,,
26,0.47281456,6.915593,,,,,,,,,,,,,,
27,0.47534522,6.9212723,,,,,,,,,,,,,,
28,0.47356582,6.9115477,,,,,,,,,,,,,,
29,0.50255877,6.9128604,,,,,,,,,,,,,,
30,0.46003404,6.9108014,,,,,,,,,,,,,,
31,0.45688748,6.9066076,,,,,,,,,,,,,,
32,0.46020016,6.9109774,,,,,,,,,,,,,,
33,0.4662734,6.9118614,,,,,,,,,,,,,,
34,0.45643464,6.91215,,,,,,,,,,,,,,
35,0.44941172,6.9121222,,,,,,,,,,,,,,
36,0.47641623,6.907866,,,,,,,,,,,,,,
37,0.46701533,6.9068146,,,,,,,,,,,,,,
38,0.47170058,6.9150887,,,,,,,,,,,,,,
39,0.44066358,6.905196,,,,,,,,,,,,,,
40,0.46335807,6.912155,,,,,,,,,,,,,,
41,0.5111523,6.9008055,,,,,,,,,,,,,,
42,0.46590537,6.903397,,,,,,,,,,,,,,
43,0.49687618,6.8981175,,,,,,,,,,,,,,
44,0.45537695,6.905264,,,,,,,,,,,,,,
45,0.4615108,6.908215,,,,,,,,,,,,,,
46,0.46795836,6.9083157,,,,,,,,,,,,,,
47,0.46108153,6.902163,,,,,,,,,,,,,,
48,0.4563547,6.9026775,,,,,,,,,,,,,,
49,0.44179797,6.905472,,,,,,,,,,,,,,
50,0.44604114,6.901743,,,,,,,,,,,,,,
51,0.43876868,6.9093137,,,,,,,,,,,,,,
52,0.4651691,6.90928,,,,,,,,,,,,,,
53,0.44328973,6.90441,,,,,,,,,,,,,,
54,0.47646487,6.896124,,,,,,,,,,,,,,
55,0.45947474,6.8954363,,,,,,,,,,,,,,
56,0.4538419,6.8994713,,,,,,,,,,,,,,
57,0.46468908,6.889203,,,,,,,,,,,,,,
58,0.456304,6.897167,,,,,,,,,,,,,,
59,0.4819408,6.8930664,,,,,,,,,,,,,,
60,0.42916563,6.896327,,,,,,,,,,,,,,
61,0.4665356,6.881459,,,,,,,,,,,,,,
62,0.455601,6.893757,,,,,,,,,,,,,,
63,0.483463,6.8953238,,,,,,,,,,,,,,
64,0.45975125,6.8921623,,,,,,,,,,,,,,
65,0.46558642,6.8916755,,,,,,,,,,,,,,
66,0.46232557,6.8861637,,,,,,,,,,,,,,
67,0.46327838,6.883844,,,,,,,,,,,,,,
68,0.44413155,6.90114,,,,,,,,,,,,,,
69,0.48022944,6.8887057,,,,,,,,,,,,,,
70,0.46370438,6.8947234,,,,,,,,,,,,,,
71,0.4423582,6.89581,,,,,,,,,,,,,,
72,0.4430457,6.891446,,,,,,,,,,,,,,
73,0.46727332,6.8951836,,,,,,,,,,,,,,
74,0.4496121,6.8942313,,,,,,,,,,,,,,
75,0.43303174,6.889346,,,,,,,,,,,,,,
76,0.45893282,6.8868694,,,,,,,,,,,,,,
77,0.45073318,6.886879,,,,,,,,,,,,,,
78,0.4716525,6.8923125,,,,,,,,,,,,,,
79,0.46506578,6.884743,,,,,,,,,,,,,,
80,0.44280407,6.8898773,,,,,,,,,,,,,,
81,0.46331823,6.8837004,,,,,,,,,,,,,,
82,0.45376638,6.8770943,,,,,,,,,,,,,,
83,0.43018064,6.8891788,,,,,,,,,,,,,,
84,0.4778744,6.880514,,,,,,,,,,,,,,
85,0.4747883,6.8872337,,,,,,,,,,,,,,
86,0.48068982,6.88692,,,,,,,,,,,,,,
87,0.45698285,6.8874087,,,,,,,,,,,,,,
88,0.4833557,6.8870273,,,,,,,,,,,,,,
89,0.44241956,6.8790035,,,,,,,,,,,,,,
90,0.48397613,6.8821077,,,,,,,,,,,,,,
91,0.48261437,6.8680887,,,,,,,,,,,,,,
92,0.46838248,6.877178,,,,,,,,,,,,,,
93,0.47588795,6.8862886,,,,,,,,,,,,,,
94,0.47179237,6.8788395,,,,,,,,,,,,,,
95,0.44383225,6.888632,,,,,,,,,,,,,,
96,0.4697971,6.8885727,,,,,,,,,,,,,,
97,0.45809585,6.8684864,,,,,,,,,,,,,,
98,0.46329874,6.890032,,,,,,,,,,,,,,
99,0.45529643,6.865654,,,,,,,,,,,,,,
100,0.44404274,6.8927464,,,,,,,,,,,,,,
500,0.5344305,6.5214434,,,,,,,,,,,,,,
1000,0.4584805,6.096764,,,,,,,,,,,,,,
1500,0.47936156,5.707746,,,,,,,,,,,,,,
2000,0.501165,5.5090137,,,,,,,,,,,,,,
2500,0.49435937,5.1888704,,,,,,,,,,,,,,
2802,,,0.2709462642669678,3.717517614364624,0.2285399883985519,3.955676555633545,50000.0,0.167600005865097,4.43997859954834,10000.0,549.3842663764954,610.0327498912811,549.3842663764954,60.52774119377136,0.0287692546844482,0.0
3000,0.4876437,5.006918,,,,,,,,,,,,,,
3500,0.54246944,4.861528,,,,,,,,,,,,,,
4000,0.43011934,4.7814746,,,,,,,,,,,,,,
4500,0.43257445,4.7339845,,,,,,,,,,,,,,
5000,0.41288912,4.541445,,,,,,,,,,,,,,
5500,0.417197,4.609152,,,,,,,,,,,,,,
5610,,,0.3941924273967743,2.9730653762817383,0.3555800020694732,3.1851818561553955,50000.0,0.2699000239372253,3.760156393051148,10000.0,1059.330287218094,1138.2319378852844,1059.330287218094,78.66454458236694,0.0557355880737304,0.0
6000,0.4068851,4.4957185,,,,,,,,,,,,,,
6500,0.4203276,4.5185876,,,,,,,,,,,,,,
7000,0.39803562,4.4617224,,,,,,,,,,,,,,
7500,0.38485494,4.3278923,,,,,,,,,,,,,,
8000,0.43543875,4.4958563,,,,,,,,,,,,,,
8418,,,0.4443757832050323,2.615183591842652,0.4137399792671203,2.78801703453064,50000.0,0.318200021982193,3.4120326042175293,10000.0,1569.233282327652,1666.59339761734,1569.233282327652,97.00804924964903,0.0831224918365478,0.0
8500,0.41257545,4.4442105,,,,,,,,,,,,,,
9000,0.38978598,4.2460074,,,,,,,,,,,,,,
9500,0.41757894,4.3321266,,,,,,,,,,,,,,
10000,0.41665095,4.2297373,,,,,,,,,,,,,,
10500,0.40165588,4.173085,,,,,,,,,,,,,,
11000,0.40567,4.187088,,,,,,,,,,,,,,
11227,,,0.4833187162876129,2.470959424972534,0.4481000006198883,2.6501293182373047,50000.0,0.3416000306606293,3.2876079082489014,10000.0,2079.135133266449,2194.8848955631256,2079.135133266449,115.28256273269652,0.109339952468872,0.0
11500,0.40844405,4.151321,,,,,,,,,,,,,,
12000,0.41099697,4.1796775,,,,,,,,,,,,,,
12500,0.407373,4.163122,,,,,,,,,,,,,,
13000,0.40794483,4.0779977,,,,,,,,,,,,,,
13500,0.42242882,4.157648,,,,,,,,,,,,,,
14000,0.4071594,4.197688,,,,,,,,,,,,,,
14036,,,0.4928451776504516,2.44167160987854,0.4616599977016449,2.5923407077789307,50000.0,0.352400004863739,3.253528118133545,10000.0,2589.1811945438385,2723.163457632065,2589.1811945438385,133.39499020576477,0.1392099857330322,0.0
14500,0.42654088,4.2311325,,,,,,,,,,,,,,
15000,0.42195353,4.229188,,,,,,,,,,,,,,
15500,0.4073978,4.104715,,,,,,,,,,,,,,
16000,0.41648898,4.1022487,,,,,,,,,,,,,,
16500,0.41565046,4.0324826,,,,,,,,,,,,,,
16845,,,0.5042849183082581,2.375934839248657,0.4754199981689453,2.5212173461914062,50000.0,0.3671000301837921,3.162528276443481,10000.0,3099.06081533432,3251.3906412124634,3099.06081533432,151.62206530570984,0.1710073947906494,0.0
17000,0.44621962,4.162196,,,,,,,,,,,,,,
17500,0.4119312,4.1112967,,,,,,,,,,,,,,
18000,0.41079473,3.9940267,,,,,,,,,,,,,,
18500,0.4142395,4.0258536,,,,,,,,,,,,,,
19000,0.42276794,4.000695,,,,,,,,,,,,,,
19500,0.43136245,3.986877,,,,,,,,,,,,,,
19655,,,0.516621470451355,2.2864809036254883,0.4909399747848511,2.429770469665528,50000.0,0.3792000114917755,3.102672815322876,10000.0,3608.947757005692,3779.92001414299,3608.947757005692,170.14759874343872,0.1975326538085937,0.0
20000,0.42219588,3.9761596,,,,,,,,,,,,,,
20500,0.4157733,4.064527,,,,,,,,,,,,,,
21000,0.4274242,4.0923147,,,,,,,,,,,,,,
21500,0.43405873,4.070719,,,,,,,,,,,,,,
22000,0.42147145,3.8641448,,,,,,,,,,,,,,
22466,,,0.5379264950752258,2.1756951808929443,0.5106399655342102,2.30892014503479,50000.0,0.3899000287055969,2.973999261856079,10000.0,4118.965543985367,4308.747456789017,4118.965543985367,188.8380012512207,0.2270636558532714,0.0
22500,0.42494267,4.0617046,,,,,,,,,,,,,,
23000,0.4330186,4.0218782,,,,,,,,,,,,,,
23500,0.43116745,4.0975704,,,,,,,,,,,,,,
24000,0.42853355,4.0226088,,,,,,,,,,,,,,
24500,0.41819626,3.9678802,,,,,,,,,,,,,,
25000,0.4443893,3.96931,,,,,,,,,,,,,,
25275,,,0.5290178656578064,2.225160837173462,0.5007199645042419,2.3718740940093994,50000.0,0.3817000091075897,3.052275896072388,10000.0,4628.95613360405,4839.673331737518,4628.95613360405,209.6465151309967,0.2606830596923828,0.0
25500,0.43390435,3.9300656,,,,,,,,,,,,,,
26000,0.42611378,3.997865,,,,,,,,,,,,,,
26500,0.43290904,4.0109334,,,,,,,,,,,,,,
27000,0.43998232,3.9214568,,,,,,,,,,,,,,
27500,0.43278533,3.8997138,,,,,,,,,,,,,,
28000,0.44218692,3.9884844,,,,,,,,,,,,,,
28084,,,0.5485690236091614,2.1369452476501465,0.5232999920845032,2.2611072063446045,50000.0,0.4061000049114227,2.925768613815308,10000.0,5138.88924074173,5371.2177946567535,5138.88924074173,231.13219547271729,0.2956113815307617,0.0
28500,0.42671365,4.0342717,,,,,,,,,,,,,,
29000,0.4363898,3.8244185,,,,,,,,,,,,,,
29500,0.44010156,3.887133,,,,,,,,,,,,,,
30000,0.4441915,3.877558,,,,,,,,,,,,,,
30500,0.4375099,3.8731627,,,,,,,,,,,,,,
30892,,,0.5383848547935486,2.1873598098754883,0.5109400153160095,2.30798602104187,50000.0,0.396200031042099,2.9860281944274902,10000.0,5648.814496278763,5901.284316062927,5648.814496278763,251.1506080627441,0.329829454421997,0.0
31000,0.4379841,3.9218917,,,,,,,,,,,,,,
