global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,110.129585,10.539152,,,,,,,,,,,,,,
1,,,0.0009566326625645,681.6714477539062,0.0009999999310821,691.8001708984375,50000.0,0.0010000000474974,681.23779296875,10000.0,47.30277299880981,84.09100985527039,47.30277299880981,36.78810667991638,0.0,0.0
1,109.14599,10.500322,,,,,,,,,,,,,,
2,106.09833,9.688808,,,,,,,,,,,,,,
3,98.64964,9.099208,,,,,,,,,,,,,,
4,87.75427,8.648147,,,,,,,,,,,,,,
5,79.147354,8.725981,,,,,,,,,,,,,,
6,84.28401,8.91514,,,,,,,,,,,,,,
7,86.15602,9.809997,,,,,,,,,,,,,,
8,54.92478,10.815823,,,,,,,,,,,,,,
9,58.62532,11.342966,,,,,,,,,,,,,,
10,46.203102,11.096624,,,,,,,,,,,,,,
11,46.366516,11.114083,,,,,,,,,,,,,,
12,58.43057,11.146648,,,,,,,,,,,,,,
13,46.92847,11.633236,,,,,,,,,,,,,,
14,49.351223,11.86831,,,,,,,,,,,,,,
15,37.932926,12.141894,,,,,,,,,,,,,,
16,37.06817,14.519275,,,,,,,,,,,,,,
17,50.03487,12.113906,,,,,,,,,,,,,,
18,24.386868,11.815257,,,,,,,,,,,,,,
19,52.744442,14.146544,,,,,,,,,,,,,,
20,137.15402,17.065823,,,,,,,,,,,,,,
21,120.84618,13.397283,,,,,,,,,,,,,,
22,35.256588,14.542658,,,,,,,,,,,,,,
23,267.1909,14.821825,,,,,,,,,,,,,,
24,34.476807,15.62408,,,,,,,,,,,,,,
25,28.07167,18.112837,,,,,,,,,,,,,,
26,30.93368,14.651891,,,,,,,,,,,,,,
27,28.293333,12.851249,,,,,,,,,,,,,,
28,21.206774,12.862667,,,,,,,,,,,,,,
29,32.24241,12.822741,,,,,,,,,,,,,,
30,40.847214,13.7067,,,,,,,,,,,,,,
31,67.43602,13.915628,,,,,,,,,,,,,,
32,33.63737,14.7311325,,,,,,,,,,,,,,
33,20.789371,12.875202,,,,,,,,,,,,,,
34,19.914696,16.693897,,,,,,,,,,,,,,
35,16.192461,13.260232,,,,,,,,,,,,,,
36,13.601597,12.810142,,,,,,,,,,,,,,
37,22.351372,14.753697,,,,,,,,,,,,,,
38,16.344412,11.095259,,,,,,,,,,,,,,
39,20.020685,11.079164,,,,,,,,,,,,,,
40,17.59893,11.295836,,,,,,,,,,,,,,
41,11.166636,13.764284,,,,,,,,,,,,,,
42,10.253331,11.10988,,,,,,,,,,,,,,
43,6.9471073,11.377858,,,,,,,,,,,,,,
44,9.636164,12.843873,,,,,,,,,,,,,,
45,7.795578,10.874825,,,,,,,,,,,,,,
46,9.097387,9.895077,,,,,,,,,,,,,,
47,7.5205827,10.902931,,,,,,,,,,,,,,
48,18.262615,12.171944,,,,,,,,,,,,,,
49,9.287122,10.724519,,,,,,,,,,,,,,
50,36.396538,11.93966,,,,,,,,,,,,,,
51,9.16085,12.964372,,,,,,,,,,,,,,
52,13.697916,13.507074,,,,,,,,,,,,,,
53,17.393553,14.979143,,,,,,,,,,,,,,
54,43.10419,16.633492,,,,,,,,,,,,,,
55,10.792056,11.939886,,,,,,,,,,,,,,
56,20.662277,16.41336,,,,,,,,,,,,,,
57,13.244575,14.344196,,,,,,,,,,,,,,
58,6.325756,12.757261,,,,,,,,,,,,,,
59,15.575645,12.448738,,,,,,,,,,,,,,
60,9.597117,12.620475,,,,,,,,,,,,,,
61,142.58804,15.695126,,,,,,,,,,,,,,
62,12.879084,13.440569,,,,,,,,,,,,,,
63,12.240688,13.573707,,,,,,,,,,,,,,
64,13.962639,15.872922,,,,,,,,,,,,,,
65,11.116621,12.725031,,,,,,,,,,,,,,
66,10.74011,11.455455,,,,,,,,,,,,,,
67,7.1465874,11.980448,,,,,,,,,,,,,,
68,10.5032835,14.732038,,,,,,,,,,,,,,
69,10.637334,11.011002,,,,,,,,,,,,,,
70,7.4831643,9.631762,,,,,,,,,,,,,,
71,5.960704,10.175663,,,,,,,,,,,,,,
72,7.3518453,10.059868,,,,,,,,,,,,,,
73,5.307065,10.310734,,,,,,,,,,,,,,
74,6.512507,10.760032,,,,,,,,,,,,,,
75,8.078031,9.348711,,,,,,,,,,,,,,
76,5.1657486,8.99424,,,,,,,,,,,,,,
77,20.98431,9.900329,,,,,,,,,,,,,,
78,4.126134,11.557352,,,,,,,,,,,,,,
79,5.775165,9.989341,,,,,,,,,,,,,,
80,5.719943,10.403563,,,,,,,,,,,,,,
81,7.199605,8.954561,,,,,,,,,,,,,,
82,9.838778,10.698938,,,,,,,,,,,,,,
83,12.155798,10.478828,,,,,,,,,,,,,,
84,5.200183,9.833966,,,,,,,,,,,,,,
85,6.696612,10.118941,,,,,,,,,,,,,,
86,4.389679,8.557487,,,,,,,,,,,,,,
87,3.8295069,9.797287,,,,,,,,,,,,,,
88,4.5586786,10.453962,,,,,,,,,,,,,,
89,6.9289303,8.7563505,,,,,,,,,,,,,,
90,7.34968,8.798706,,,,,,,,,,,,,,
91,6.9445753,10.479867,,,,,,,,,,,,,,
92,2.9174325,8.333946,,,,,,,,,,,,,,
93,54.876244,11.400583,,,,,,,,,,,,,,
94,9.668374,13.733451,,,,,,,,,,,,,,
95,5.050967,10.750531,,,,,,,,,,,,,,
96,7.204216,12.4073925,,,,,,,,,,,,,,
97,5.8944716,13.484489,,,,,,,,,,,,,,
98,6.577138,10.865981,,,,,,,,,,,,,,
99,13.574149,11.097069,,,,,,,,,,,,,,
100,5.289648,9.485615,,,,,,,,,,,,,,
500,0.09095031,6.885376,,,,,,,,,,,,,,
1000,0.1728144,6.665286,,,,,,,,,,,,,,
1500,0.110681325,6.7899146,,,,,,,,,,,,,,
1519,,,0.0045440047979354,6.69061803817749,0.0045400001108646,6.699541568756104,50000.0,0.0034000002779066,6.734652042388916,10000.0,557.4852783679962,612.4016373157501,557.4852783679962,54.83740997314453,0.0263545513153076,0.0
2000,0.15966853,6.562319,,,,,,,,,,,,,,
2500,0.1781175,6.3660593,,,,,,,,,,,,,,
3000,0.17644298,6.1376085,,,,,,,,,,,,,,
3039,,,0.0496053881943225,5.57780122756958,0.0469000004231929,5.608048439025879,50000.0,0.035800002515316,5.819831848144531,10000.0,1067.7323660850525,1140.9426672458649,1067.7323660850525,73.04691457748413,0.0560715198516845,0.0
