global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.44761476,6.910325,,,,,,,,,,,,,,
1,,,0.0009566326625645,6.90775728225708,0.0009399999980814,6.9077558517456055,50000.0,0.0009000000427477,6.9077558517456055,10000.0,44.76942777633667,86.53807091712952,44.76942777633667,41.76855397224426,0.0,0.0
1,0.50977534,6.915292,,,,,,,,,,,,,,
2,0.47820714,6.9224987,,,,,,,,,,,,,,
3,0.45572457,6.911191,,,,,,,,,,,,,,
4,0.48275435,6.911102,,,,,,,,,,,,,,
5,0.46631116,6.9145427,,,,,,,,,,,,,,
6,0.44214106,6.9089003,,,,,,,,,,,,,,
7,0.45944405,6.9138217,,,,,,,,,,,,,,
8,0.44552952,6.909944,,,,,,,,,,,,,,
9,0.44055519,6.909232,,,,,,,,,,,,,,
10,0.45170936,6.90708,,,,,,,,,,,,,,
11,0.47411802,6.907181,,,,,,,,,,,,,,
12,0.48191908,6.906921,,,,,,,,,,,,,,
13,0.47105092,6.9147997,,,,,,,,,,,,,,
14,0.45317963,6.911278,,,,,,,,,,,,,,
15,0.43470407,6.90248,,,,,,,,,,,,,,
16,0.43113166,6.907791,,,,,,,,,,,,,,
17,0.44668958,6.9046803,,,,,,,,,,,,,,
18,0.43134728,6.9025817,,,,,,,,,,,,,,
19,0.45910406,6.903518,,,,,,,,,,,,,,
20,0.4448386,6.903264,,,,,,,,,,,,,,
21,0.45808083,6.8964977,,,,,,,,,,,,,,
22,0.44123366,6.893574,,,,,,,,,,,,,,
23,0.42885438,6.896161,,,,,,,,,,,,,,
24,0.48592123,6.901924,,,,,,,,,,,,,,
25,0.4494147,6.8899274,,,,,,,,,,,,,,
26,0.46129632,6.8979607,,,,,,,,,,,,,,
27,0.4748946,6.899107,,,,,,,,,,,,,,
28,0.4616291,6.8863444,,,,,,,,,,,,,,
29,0.5311484,6.8910227,,,,,,,,,,,,,,
30,0.4584606,6.8897405,,,,,,,,,,,,,,
31,0.45737672,6.8771653,,,,,,,,,,,,,,
32,0.447746,6.88829,,,,,,,,,,,,,,
33,0.45121264,6.8822927,,,,,,,,,,,,,,
34,0.46223244,6.8914075,,,,,,,,,,,,,,
35,0.4338441,6.891792,,,,,,,,,,,,,,
36,0.46336308,6.8756714,,,,,,,,,,,,,,
37,0.4626481,6.8780694,,,,,,,,,,,,,,
38,0.46269086,6.884637,,,,,,,,,,,,,,
39,0.4298896,6.8679357,,,,,,,,,,,,,,
40,0.4603066,6.8777704,,,,,,,,,,,,,,
41,0.5377368,6.8644686,,,,,,,,,,,,,,
42,0.46237776,6.878806,,,,,,,,,,,,,,
43,0.51844937,6.8513656,,,,,,,,,,,,,,
44,0.45345044,6.8714623,,,,,,,,,,,,,,
45,0.47391927,6.896019,,,,,,,,,,,,,,
46,0.45497808,6.8821173,,,,,,,,,,,,,,
47,0.47854778,6.85472,,,,,,,,,,,,,,
48,0.46559474,6.8742943,,,,,,,,,,,,,,
49,0.44607732,6.8848877,,,,,,,,,,,,,,
50,0.4540645,6.875492,,,,,,,,,,,,,,
51,0.44114906,6.880432,,,,,,,,,,,,,,
52,0.5064092,6.879937,,,,,,,,,,,,,,
53,0.4588538,6.87069,,,,,,,,,,,,,,
54,0.49785075,6.858374,,,,,,,,,,,,,,
55,0.49315694,6.870591,,,,,,,,,,,,,,
56,0.47320306,6.8694286,,,,,,,,,,,,,,
57,0.5062957,6.842345,,,,,,,,,,,,,,
58,0.47659847,6.875475,,,,,,,,,,,,,,
