global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.5307573,6.907756,,,,,,,,,,,,,,
1,,,0.0007617187220603,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,41.72967982292175,88.55736303329468,41.72967982292175,46.82756495475769,0.0,0.0
1,0.5041911,6.907756,,,,,,,,,,,,,,
2,0.5009156,6.9077544,,,,,,,,,,,,,,
3,0.5373414,6.907754,,,,,,,,,,,,,,
4,0.52518916,6.907754,,,,,,,,,,,,,,
5,0.54637724,6.9077487,,,,,,,,,,,,,,
6,0.53205544,6.9077554,,,,,,,,,,,,,,
7,0.51042116,6.907755,,,,,,,,,,,,,,
8,0.52616054,6.9077587,,,,,,,,,,,,,,
9,0.5298464,6.907756,,,,,,,,,,,,,,
10,0.5196107,6.9077463,,,,,,,,,,,,,,
11,0.53448325,6.9077206,,,,,,,,,,,,,,
12,0.52488315,6.9077115,,,,,,,,,,,,,,
13,0.53356194,6.90775,,,,,,,,,,,,,,
14,0.50510913,6.907733,,,,,,,,,,,,,,
15,0.5338996,6.9077044,,,,,,,,,,,,,,
16,0.52744323,6.9077435,,,,,,,,,,,,,,
17,0.5019067,6.907755,,,,,,,,,,,,,,
18,0.53156364,6.907713,,,,,,,,,,,,,,
19,0.5177653,6.9077635,,,,,,,,,,,,,,
20,0.5308244,6.9076614,,,,,,,,,,,,,,
21,0.531621,6.90776,,,,,,,,,,,,,,
22,0.5159053,6.90766,,,,,,,,,,,,,,
23,0.52694935,6.9076767,,,,,,,,,,,,,,
24,0.51086897,6.9076686,,,,,,,,,,,,,,
25,0.51993,6.9077387,,,,,,,,,,,,,,
26,0.53635246,6.907874,,,,,,,,,,,,,,
27,0.53352827,6.907605,,,,,,,,,,,,,,
28,0.54324174,6.9075975,,,,,,,,,,,,,,
29,0.5366165,6.9076977,,,,,,,,,,,,,,
30,0.5139584,6.907695,,,,,,,,,,,,,,
31,0.5376412,6.9076285,,,,,,,,,,,,,,
32,0.5384431,6.9076715,,,,,,,,,,,,,,
33,0.532858,6.907598,,,,,,,,,,,,,,
34,0.52880126,6.9076977,,,,,,,,,,,,,,
35,0.5378218,6.907585,,,,,,,,,,,,,,
36,0.5389828,6.907579,,,,,,,,,,,,,,
37,0.54231936,6.9075356,,,,,,,,,,,,,,
38,0.5465656,6.9074855,,,,,,,,,,,,,,
39,0.52012545,6.9076552,,,,,,,,,,,,,,
40,0.53628236,6.907584,,,,,,,,,,,,,,
41,0.5365371,6.907615,,,,,,,,,,,,,,
42,0.5403453,6.907419,,,,,,,,,,,,,,
43,0.5222605,6.907512,,,,,,,,,,,,,,
44,0.52492154,6.907504,,,,,,,,,,,,,,
45,0.5086922,6.907347,,,,,,,,,,,,,,
46,0.5085912,6.9076333,,,,,,,,,,,,,,
47,0.5548087,6.9075117,,,,,,,,,,,,,,
48,0.5120053,6.907265,,,,,,,,,,,,,,
49,0.5505668,6.907152,,,,,,,,,,,,,,
50,0.5209597,6.907524,,,,,,,,,,,,,,
51,0.5282771,6.9073935,,,,,,,,,,,,,,
52,0.5568781,6.907467,,,,,,,,,,,,,,
53,0.570289,6.9072194,,,,,,,,,,,,,,
54,0.52414715,6.9073887,,,,,,,,,,,,,,
55,0.5264888,6.9072075,,,,,,,,,,,,,,
56,0.5742861,6.9073763,,,,,,,,,,,,,,
57,0.51179606,6.9072394,,,,,,,,,,,,,,
58,0.57751447,6.907612,,,,,,,,,,,,,,
59,0.5778196,6.9070454,,,,,,,,,,,,,,
60,0.56431454,6.907299,,,,,,,,,,,,,,
61,0.5724794,6.9071,,,,,,,,,,,,,,
62,0.5688766,6.907193,,,,,,,,,,,,,,
63,0.5138193,6.9071174,,,,,,,,,,,,,,
64,0.57278275,6.9071894,,,,,,,,,,,,,,
65,0.5697338,6.9065266,,,,,,,,,,,,,,
66,0.53516614,6.9067235,,,,,,,,,,,,,,
67,0.58049357,6.9070673,,,,,,,,,,,,,,
68,0.58030725,6.906213,,,,,,,,,,,,,,
69,0.5413701,6.906911,,,,,,,,,,,,,,
70,0.5674182,6.906997,,,,,,,,,,,,,,
71,0.5843186,6.9062815,,,,,,,,,,,,,,
72,0.5791357,6.90631,,,,,,,,,,,,,,
73,0.52811736,6.9068913,,,,,,,,,,,,,,
74,0.59801894,6.9056354,,,,,,,,,,,,,,
75,0.54751736,6.906325,,,,,,,,,,,,,,
76,0.62121534,6.906016,,,,,,,,,,,,,,
77,0.5692836,6.9064746,,,,,,,,,,,,,,
78,0.6110039,6.906563,,,,,,,,,,,,,,
79,0.53913146,6.906906,,,,,,,,,,,,,,
80,0.6064813,6.905528,,,,,,,,,,,,,,
81,0.5420059,6.906141,,,,,,,,,,,,,,
82,0.5989407,6.9052334,,,,,,,,,,,,,,
83,0.6122555,6.905228,,,,,,,,,,,,,,
84,0.6275453,6.9056606,,,,,,,,,,,,,,
