global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.39234173,6.907756,,,,,,,,,,,,,,
1,,,0.0009570312104187,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,43.16585683822632,82.91282558441162,43.16585683822632,39.746883153915405,0.0,0.0
1,0.39234856,6.907756,,,,,,,,,,,,,,
2,0.380045,6.9077544,,,,,,,,,,,,,,
3,0.38753736,6.907759,,,,,,,,,,,,,,
4,0.37468827,6.907755,,,,,,,,,,,,,,
5,0.38441852,6.907751,,,,,,,,,,,,,,
6,0.3991668,6.9077444,,,,,,,,,,,,,,
7,0.39041084,6.9077544,,,,,,,,,,,,,,
8,0.37340832,6.907755,,,,,,,,,,,,,,
9,0.39897904,6.9077415,,,,,,,,,,,,,,
10,0.3737572,6.907749,,,,,,,,,,,,,,
11,0.4040062,6.9077487,,,,,,,,,,,,,,
12,0.37504992,6.9077253,,,,,,,,,,,,,,
13,0.4021536,6.907723,,,,,,,,,,,,,,
14,0.37375945,6.9077454,,,,,,,,,,,,,,
15,0.3943193,6.907759,,,,,,,,,,,,,,
16,0.37838152,6.9077034,,,,,,,,,,,,,,
17,0.40048543,6.9076996,,,,,,,,,,,,,,
18,0.36802837,6.907754,,,,,,,,,,,,,,
19,0.39595035,6.907737,,,,,,,,,,,,,,
20,0.37101617,6.9076843,,,,,,,,,,,,,,
21,0.39617324,6.9076953,,,,,,,,,,,,,,
22,0.37996367,6.9077053,,,,,,,,,,,,,,
23,0.39259312,6.9076552,,,,,,,,,,,,,,
24,0.4030615,6.9076004,,,,,,,,,,,,,,
25,0.40205407,6.90764,,,,,,,,,,,,,,
26,0.38035664,6.9077077,,,,,,,,,,,,,,
27,0.3952071,6.907652,,,,,,,,,,,,,,
28,0.40577137,6.907636,,,,,,,,,,,,,,
29,0.39834276,6.9077005,,,,,,,,,,,,,,
30,0.40489775,6.907674,,,,,,,,,,,,,,
31,0.4023734,6.9075894,,,,,,,,,,,,,,
32,0.41003257,6.907624,,,,,,,,,,,,,,
33,0.401319,6.907496,,,,,,,,,,,,,,
34,0.40673992,6.907567,,,,,,,,,,,,,,
35,0.37160498,6.907565,,,,,,,,,,,,,,
36,0.40346244,6.9074373,,,,,,,,,,,,,,
37,0.4089054,6.907432,,,,,,,,,,,,,,
38,0.38270232,6.90746,,,,,,,,,,,,,,
39,0.37876466,6.907543,,,,,,,,,,,,,,
40,0.39764738,6.9074006,,,,,,,,,,,,,,
41,0.42001158,6.9074664,,,,,,,,,,,,,,
42,0.39423084,6.9075537,,,,,,,,,,,,,,
43,0.39582324,6.907248,,,,,,,,,,,,,,
44,0.41383016,6.9072094,,,,,,,,,,,,,,
45,0.38121969,6.9073772,,,,,,,,,,,,,,
46,0.39762864,6.9075127,,,,,,,,,,,,,,
47,0.4322995,6.9071465,,,,,,,,,,,,,,
48,0.43210968,6.9072523,,,,,,,,,,,,,,
49,0.44298884,6.9070344,,,,,,,,,,,,,,
50,0.43973345,6.9070487,,,,,,,,,,,,,,
51,0.43249258,6.9070067,,,,,,,,,,,,,,
52,0.4458296,6.9069967,,,,,,,,,,,,,,
53,0.39439058,6.9069853,,,,,,,,,,,,,,
54,0.44652385,6.9065843,,,,,,,,,,,,,,
55,0.45270416,6.9069467,,,,,,,,,,,,,,
56,0.4443415,6.9068775,,,,,,,,,,,,,,
57,0.44090992,6.9067698,,,,,,,,,,,,,,
58,0.45370227,6.9065003,,,,,,,,,,,,,,
59,0.43002072,6.906787,,,,,,,,,,,,,,
60,0.4657335,6.9063983,,,,,,,,,,,,,,
61,0.43740118,6.906273,,,,,,,,,,,,,,
62,0.45037326,6.9061975,,,,,,,,,,,,,,
63,0.396522,6.906914,,,,,,,,,,,,,,
64,0.4360095,6.9063025,,,,,,,,,,,,,,
65,0.42493773,6.9067354,,,,,,,,,,,,,,
66,0.48591757,6.905873,,,,,,,,,,,,,,
67,0.45545602,6.906003,,,,,,,,,,,,,,
68,0.4078862,6.906597,,,,,,,,,,,,,,
69,0.4792363,6.9059024,,,,,,,,,,,,,,
70,0.4364089,6.9066696,,,,,,,,,,,,,,
71,0.42870522,6.905756,,,,,,,,,,,,,,
72,0.4575924,6.9058733,,,,,,,,,,,,,,
73,0.40657288,6.90632,,,,,,,,,,,,,,
74,0.47655165,6.905386,,,,,,,,,,,,,,
75,0.4860784,6.905502,,,,,,,,,,,,,,
76,0.50655925,6.9049764,,,,,,,,,,,,,,
77,0.50821465,6.9044538,,,,,,,,,,,,,,
78,0.4307556,6.905486,,,,,,,,,,,,,,
79,0.47975987,6.9053974,,,,,,,,,,,,,,
80,0.4951408,6.9038544,,,,,,,,,,,,,,
81,0.4758207,6.903526,,,,,,,,,,,,,,
82,0.5070749,6.904073,,,,,,,,,,,,,,
83,0.52315897,6.9034653,,,,,,,,,,,,,,
