global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.3938342,6.907756,,,,,,,,,,,,,,
1,,,0.0007617187220603,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,41.08020734786987,81.16462087631226,41.08020734786987,40.084317207336426,0.0,0.0
1,0.37569824,6.907756,,,,,,,,,,,,,,
2,0.37272838,6.907756,,,,,,,,,,,,,,
3,0.39838445,6.9077554,,,,,,,,,,,,,,
4,0.38651416,6.9077544,,,,,,,,,,,,,,
5,0.3883418,6.907755,,,,,,,,,,,,,,
6,0.38761178,6.907754,,,,,,,,,,,,,,
7,0.38639125,6.9077544,,,,,,,,,,,,,,
8,0.38197646,6.907754,,,,,,,,,,,,,,
9,0.3909414,6.907752,,,,,,,,,,,,,,
10,0.3875927,6.907751,,,,,,,,,,,,,,
11,0.39253446,6.907756,,,,,,,,,,,,,,
12,0.39609706,6.9077535,,,,,,,,,,,,,,
13,0.3880972,6.907748,,,,,,,,,,,,,,
14,0.37480813,6.907752,,,,,,,,,,,,,,
15,0.38807577,6.9077554,,,,,,,,,,,,,,
16,0.3722556,6.90775,,,,,,,,,,,,,,
17,0.36764947,6.9077497,,,,,,,,,,,,,,
18,0.38593686,6.9077544,,,,,,,,,,,,,,
19,0.3734358,6.9077463,,,,,,,,,,,,,,
20,0.38179147,6.9077463,,,,,,,,,,,,,,
21,0.38871834,6.9077387,,,,,,,,,,,,,,
22,0.3929829,6.907731,,,,,,,,,,,,,,
23,0.40158844,6.9077454,,,,,,,,,,,,,,
24,0.38351515,6.907735,,,,,,,,,,,,,,
25,0.38055745,6.9077296,,,,,,,,,,,,,,
26,0.3889712,6.9077272,,,,,,,,,,,,,,
27,0.38714606,6.9077325,,,,,,,,,,,,,,
28,0.39195383,6.9077373,,,,,,,,,,,,,,
29,0.38741836,6.907737,,,,,,,,,,,,,,
30,0.36873484,6.907727,,,,,,,,,,,,,,
31,0.37401295,6.9077396,,,,,,,,,,,,,,
32,0.38724482,6.9077168,,,,,,,,,,,,,,
33,0.4009174,6.907731,,,,,,,,,,,,,,
34,0.40047157,6.907718,,,,,,,,,,,,,,
35,0.38762012,6.9077168,,,,,,,,,,,,,,
36,0.3907241,6.9077115,,,,,,,,,,,,,,
37,0.3834764,6.907726,,,,,,,,,,,,,,
38,0.3907554,6.9077435,,,,,,,,,,,,,,
39,0.3595119,6.9077387,,,,,,,,,,,,,,
40,0.39698523,6.9077044,,,,,,,,,,,,,,
41,0.38117233,6.9076867,,,,,,,,,,,,,,
42,0.38330987,6.9076858,,,,,,,,,,,,,,
43,0.37313688,6.9077225,,,,,,,,,,,,,,
44,0.3610217,6.907707,,,,,,,,,,,,,,
