global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,53.918877,31.476772,,,,,,,,,,,,,,
1,,,31.331608,0.9451200466443164,30.673698,0.9064850304604304,5348.0,30.753916,0.9097150285377694,2472.0,59.39172101020813,204.6787955760956,59.39172101020813,145.28702449798584,0.0,0.0
1,54.78539,32.24194,,,,,,,,,,,,,,
2,60.85182,31.788567,,,,,,,,,,,,,,
3,60.26528,31.835316,,,,,,,,,,,,,,
4,51.199955,32.223846,,,,,,,,,,,,,,
5,54.413773,31.413958,,,,,,,,,,,,,,
6,54.450806,30.788477,,,,,,,,,,,,,,
7,62.234627,31.849094,,,,,,,,,,,,,,
8,63.267,31.586515,,,,,,,,,,,,,,
9,66.522316,31.395384,,,,,,,,,,,,,,
10,67.82761,30.358938,,,,,,,,,,,,,,
11,74.91829,31.118464,,,,,,,,,,,,,,
12,79.5432,30.56408,,,,,,,,,,,,,,
13,87.0437,29.896479,,,,,,,,,,,,,,
14,107.012184,30.244822,,,,,,,,,,,,,,
15,125.8647,29.73389,,,,,,,,,,,,,,
16,140.00473,28.6354,,,,,,,,,,,,,,
17,169.94302,28.565922,,,,,,,,,,,,,,
18,191.13252,27.155752,,,,,,,,,,,,,,
19,200.41469,26.184614,,,,,,,,,,,,,,
20,200.18295,24.488762,,,,,,,,,,,,,,
21,198.39407,22.80166,,,,,,,,,,,,,,
22,204.07162,21.846375,,,,,,,,,,,,,,
23,192.61787,20.166756,,,,,,,,,,,,,,
24,187.9259,18.64585,,,,,,,,,,,,,,
25,182.01782,17.186466,,,,,,,,,,,,,,
26,166.1407,15.231428,,,,,,,,,,,,,,
27,160.54918,14.283298,,,,,,,,,,,,,,
28,145.22685,12.780592,,,,,,,,,,,,,,
29,131.40543,11.798731,,,,,,,,,,,,,,
30,113.21602,10.608638,,,,,,,,,,,,,,
31,100.46919,9.946603,,,,,,,,,,,,,,
32,85.14631,9.285803,,,,,,,,,,,,,,
33,74.89467,8.862878,,,,,,,,,,,,,,
34,60.10867,8.362488,,,,,,,,,,,,,,
35,48.37105,8.017854,,,,,,,,,,,,,,
36,40.12809,7.797855,,,,,,,,,,,,,,
37,33.29062,7.663711,,,,,,,,,,,,,,
38,24.927568,7.476782,,,,,,,,,,,,,,
39,20.775934,7.4017987,,,,,,,,,,,,,,
40,17.747637,7.37005,,,,,,,,,,,,,,
41,12.357193,7.2403193,,,,,,,,,,,,,,
42,10.163106,7.2310567,,,,,,,,,,,,,,
43,9.47386,7.2182283,,,,,,,,,,,,,,
44,8.726436,7.2276964,,,,,,,,,,,,,,
45,6.6003947,7.183043,,,,,,,,,,,,,,
46,5.318282,7.1404457,,,,,,,,,,,,,,
47,6.623309,7.167845,,,,,,,,,,,,,,
48,6.4031806,7.1567073,,,,,,,,,,,,,,
49,5.390851,7.1287084,,,,,,,,,,,,,,
50,4.9519362,7.1012797,,,,,,,,,,,,,,
51,4.858403,7.099969,,,,,,,,,,,,,,
52,4.993149,7.0704374,,,,,,,,,,,,,,
53,4.39659,7.0611515,,,,,,,,,,,,,,
54,4.884207,7.0769787,,,,,,,,,,,,,,
55,4.147731,7.0066557,,,,,,,,,,,,,,
56,4.1520777,7.012356,,,,,,,,,,,,,,
57,4.527945,7.0183225,,,,,,,,,,,,,,
58,4.3841977,7.020828,,,,,,,,,,,,,,
59,3.9584398,7.0106125,,,,,,,,,,,,,,
60,3.9086199,6.991506,,,,,,,,,,,,,,
61,4.4788356,6.986908,,,,,,,,,,,,,,
62,3.8235624,6.980497,,,,,,,,,,,,,,
63,3.892058,6.9728956,,,,,,,,,,,,,,
64,4.5007243,6.9728827,,,,,,,,,,,,,,
65,4.097632,6.9544106,,,,,,,,,,,,,,
66,3.8804004,6.92792,,,,,,,,,,,,,,
67,4.069989,6.9292765,,,,,,,,,,,,,,
68,3.7614956,6.895095,,,,,,,,,,,,,,
69,3.6995935,6.922959,,,,,,,,,,,,,,
70,3.9738302,6.9070373,,,,,,,,,,,,,,
71,3.79221,6.896264,,,,,,,,,,,,,,
72,3.9307632,6.8854856,,,,,,,,,,,,,,
73,3.5360534,6.875878,,,,,,,,,,,,,,
74,3.3821316,6.8592997,,,,,,,,,,,,,,
75,3.8179126,6.8534765,,,,,,,,,,,,,,
76,3.8158207,6.850276,,,,,,,,,,,,,,
77,3.5847952,6.8503056,,,,,,,,,,,,,,
78,3.2555983,6.8094854,,,,,,,,,,,,,,
79,3.4444735,6.837803,,,,,,,,,,,,,,
80,3.2473438,6.8133764,,,,,,,,,,,,,,
81,3.2620943,6.8002973,,,,,,,,,,,,,,
82,3.132677,6.7870197,,,,,,,,,,,,,,
83,3.305769,6.7839875,,,,,,,,,,,,,,
84,3.6096938,6.786221,,,,,,,,,,,,,,
85,3.4121056,6.7841077,,,,,,,,,,,,,,
86,3.3726187,6.7567286,,,,,,,,,,,,,,
87,3.2080967,6.744716,,,,,,,,,,,,,,
88,3.0077353,6.754624,,,,,,,,,,,,,,
89,2.7703087,6.737191,,,,,,,,,,,,,,
90,2.7825625,6.731992,,,,,,,,,,,,,,
91,2.9239874,6.720067,,,,,,,,,,,,,,
92,2.9104297,6.7091126,,,,,,,,,,,,,,
93,2.8205876,6.6973233,,,,,,,,,,,,,,
94,3.1075373,6.6982226,,,,,,,,,,,,,,
