global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,78.74433,31.30824,,,,,,,,,,,,,,
1,,,29.724083,1.0418653561834954,29.371702,1.245691611071956,5348.0,29.384619,1.243881136635996,2472.0,61.5601065158844,230.7083954811096,61.5601065158844,169.1482331752777,0.0,0.0
1,93.671005,31.814627,,,,,,,,,,,,,,
2,87.061806,31.042437,,,,,,,,,,,,,,
3,90.716736,31.336233,,,,,,,,,,,,,,
4,87.81142,31.016142,,,,,,,,,,,,,,
5,77.13431,31.801449,,,,,,,,,,,,,,
6,95.46175,31.565954,,,,,,,,,,,,,,
7,94.25452,30.95968,,,,,,,,,,,,,,
8,93.884705,31.2432,,,,,,,,,,,,,,
9,98.87254,31.26787,,,,,,,,,,,,,,
10,109.25639,30.54211,,,,,,,,,,,,,,
11,102.34039,30.852024,,,,,,,,,,,,,,
12,112.59085,30.681314,,,,,,,,,,,,,,
13,116.32593,30.261467,,,,,,,,,,,,,,
14,124.77831,30.0516,,,,,,,,,,,,,,
15,124.75287,30.05728,,,,,,,,,,,,,,
16,129.76244,29.977262,,,,,,,,,,,,,,
17,142.06053,29.74904,,,,,,,,,,,,,,
18,133.1461,29.470066,,,,,,,,,,,,,,
19,135.92395,28.51694,,,,,,,,,,,,,,
20,126.64294,29.218508,,,,,,,,,,,,,,
21,138.5603,28.19681,,,,,,,,,,,,,,
22,133.79991,27.570425,,,,,,,,,,,,,,
23,134.46533,27.78984,,,,,,,,,,,,,,
24,144.3401,27.324425,,,,,,,,,,,,,,
25,137.02802,26.520113,,,,,,,,,,,,,,
26,126.55526,27.259817,,,,,,,,,,,,,,
27,140.54051,26.034603,,,,,,,,,,,,,,
28,138.43143,25.80754,,,,,,,,,,,,,,
29,124.219925,25.092882,,,,,,,,,,,,,,
30,131.17877,24.8835,,,,,,,,,,,,,,
31,120.64925,24.033543,,,,,,,,,,,,,,
32,120.50571,24.276346,,,,,,,,,,,,,,
33,118.7215,23.538969,,,,,,,,,,,,,,
34,119.15721,22.590498,,,,,,,,,,,,,,
35,108.52012,22.333239,,,,,,,,,,,,,,
36,110.613785,21.065681,,,,,,,,,,,,,,
37,99.23743,21.186039,,,,,,,,,,,,,,
38,100.00008,20.55782,,,,,,,,,,,,,,
39,90.59281,20.49989,,,,,,,,,,,,,,
40,79.09313,20.452894,,,,,,,,,,,,,,
41,69.62941,20.03754,,,,,,,,,,,,,,
42,56.69399,19.976122,,,,,,,,,,,,,,
43,54.022068,18.904686,,,,,,,,,,,,,,
44,39.114746,19.589718,,,,,,,,,,,,,,
45,31.544075,19.222778,,,,,,,,,,,,,,
46,20.31641,18.170326,,,,,,,,,,,,,,
47,23.476124,18.173897,,,,,,,,,,,,,,
48,32.44973,18.08684,,,,,,,,,,,,,,
49,38.24641,18.034628,,,,,,,,,,,,,,
50,32.554405,16.237566,,,,,,,,,,,,,,
51,45.60055,17.351133,,,,,,,,,,,,,,
52,45.43497,16.979715,,,,,,,,,,,,,,
53,34.060608,15.71289,,,,,,,,,,,,,,
54,37.790573,16.692535,,,,,,,,,,,,,,
55,34.842823,16.077011,,,,,,,,,,,,,,
56,42.758896,16.567122,,,,,,,,,,,,,,
57,28.793396,15.695184,,,,,,,,,,,,,,
58,32.031357,16.296644,,,,,,,,,,,,,,
59,28.731598,16.593603,,,,,,,,,,,,,,
60,26.071161,15.19748,,,,,,,,,,,,,,
61,30.114548,14.634027,,,,,,,,,,,,,,
62,31.22118,15.934973,,,,,,,,,,,,,,
63,34.701027,15.308046,,,,,,,,,,,,,,
64,35.15088,14.9916935,,,,,,,,,,,,,,
65,43.463478,14.397015,,,,,,,,,,,,,,
