global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,69.69271,31.555311,,,,,,,,,,,,,,
1,,,31.144068,1.5954490556608292,30.784756,1.5437114417293414,5348.0,30.686705,1.5518656185891575,2472.0,59.59556078910828,245.51749229431152,59.59556078910828,185.92183756828308,0.0,0.0
1,66.26658,31.80716,,,,,,,,,,,,,,
2,73.21294,32.49951,,,,,,,,,,,,,,
3,83.96889,31.743052,,,,,,,,,,,,,,
4,94.58753,31.098507,,,,,,,,,,,,,,
5,94.93645,30.576231,,,,,,,,,,,,,,
6,98.806274,30.903261,,,,,,,,,,,,,,
7,112.72425,29.52086,,,,,,,,,,,,,,
8,112.21054,29.465744,,,,,,,,,,,,,,
9,95.47246,28.611506,,,,,,,,,,,,,,
10,105.91311,26.334545,,,,,,,,,,,,,,
11,109.74503,26.257702,,,,,,,,,,,,,,
12,96.47804,24.234316,,,,,,,,,,,,,,
13,88.87199,23.792065,,,,,,,,,,,,,,
14,87.22779,22.392492,,,,,,,,,,,,,,
15,67.38036,21.867924,,,,,,,,,,,,,,
16,48.359936,21.42312,,,,,,,,,,,,,,
17,30.602259,21.940838,,,,,,,,,,,,,,
18,24.36096,20.726015,,,,,,,,,,,,,,
19,17.161901,20.212152,,,,,,,,,,,,,,
20,14.713423,19.416567,,,,,,,,,,,,,,
21,16.09723,19.52887,,,,,,,,,,,,,,
22,26.74026,20.852615,,,,,,,,,,,,,,
23,20.281353,19.148087,,,,,,,,,,,,,,
24,14.537928,18.76636,,,,,,,,,,,,,,
25,17.090406,18.882624,,,,,,,,,,,,,,
26,15.948433,19.166504,,,,,,,,,,,,,,
27,16.706013,18.830242,,,,,,,,,,,,,,
28,18.745237,18.492174,,,,,,,,,,,,,,
29,15.481447,18.998247,,,,,,,,,,,,,,
30,24.32942,17.138899,,,,,,,,,,,,,,
31,19.108759,18.66092,,,,,,,,,,,,,,
32,16.61376,17.096193,,,,,,,,,,,,,,
33,18.447298,17.061203,,,,,,,,,,,,,,
34,25.3644,19.062443,,,,,,,,,,,,,,
35,20.290102,16.670456,,,,,,,,,,,,,,
