global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,15.843111,33.982426,,,,,,,,,,,,,,
1,,,30.544735,0.9437925577327532,29.510908,0.8979985904206532,5348.0,29.550442,0.9005951292832044,2472.0,42.35780739784241,175.67673444747925,42.35780739784241,133.3188726902008,0.0,0.0
1,15.98092,33.884888,,,,,,,,,,,,,,
2,22.920624,32.20152,,,,,,,,,,,,,,
3,19.919382,19.431406,,,,,,,,,,,,,,
4,9.474972,11.788003,,,,,,,,,,,,,,
5,19.284592,11.519659,,,,,,,,,,,,,,
6,9.470664,10.57225,,,,,,,,,,,,,,
7,7.381766,9.286013,,,,,,,,,,,,,,
8,3.2234194,8.20504,,,,,,,,,,,,,,
9,3.4111311,7.659332,,,,,,,,,,,,,,
10,1.9974625,7.41755,,,,,,,,,,,,,,
11,2.452592,7.0705333,,,,,,,,,,,,,,
12,1.1602832,6.758484,,,,,,,,,,,,,,
13,1.281486,6.5616407,,,,,,,,,,,,,,
14,6.1252494,6.5061994,,,,,,,,,,,,,,
15,5.095268,7.366734,,,,,,,,,,,,,,
16,5.2840395,6.962468,,,,,,,,,,,,,,
17,3.1449192,6.808556,,,,,,,,,,,,,,
18,4.321041,6.737372,,,,,,,,,,,,,,
19,7.260698,6.681948,,,,,,,,,,,,,,
20,4.2055287,6.428951,,,,,,,,,,,,,,
21,5.682578,6.403194,,,,,,,,,,,,,,
22,6.6949077,6.6158395,,,,,,,,,,,,,,
23,9.557609,6.5739098,,,,,,,,,,,,,,
24,3.7918758,6.347447,,,,,,,,,,,,,,
25,8.013573,8.237858,,,,,,,,,,,,,,
26,5.4450173,7.2062507,,,,,,,,,,,,,,
27,3.7686667,6.4697967,,,,,,,,,,,,,,
28,9.437649,6.8155413,,,,,,,,,,,,,,
29,6.9943027,6.874836,,,,,,,,,,,,,,
30,15.512756,7.170681,,,,,,,,,,,,,,
31,6.7467403,7.201681,,,,,,,,,,,,,,
32,3.9694567,6.7386317,,,,,,,,,,,,,,
33,5.028318,6.568205,,,,,,,,,,,,,,
34,4.0176053,6.495601,,,,,,,,,,,,,,
35,3.481827,6.357728,,,,,,,,,,,,,,
36,2.7125473,6.3157163,,,,,,,,,,,,,,
37,4.223294,6.2892203,,,,,,,,,,,,,,
38,3.9350908,6.3158646,,,,,,,,,,,,,,
39,4.5808835,6.2879663,,,,,,,,,,,,,,
40,4.678207,6.2778907,,,,,,,,,,,,,,
41,4.224235,6.218087,,,,,,,,,,,,,,
42,3.2377148,6.16072,,,,,,,,,,,,,,
43,2.6985722,6.165489,,,,,,,,,,,,,,
44,2.6190274,6.1567173,,,,,,,,,,,,,,
45,3.0770767,6.068681,,,,,,,,,,,,,,
46,2.88751,6.110479,,,,,,,,,,,,,,
47,3.2633436,6.08634,,,,,,,,,,,,,,
48,3.626047,6.1276083,,,,,,,,,,,,,,
49,6.2932153,6.2170115,,,,,,,,,,,,,,
50,6.8536043,6.456706,,,,,,,,,,,,,,
51,5.9436936,6.294959,,,,,,,,,,,,,,
52,5.601637,6.3666115,,,,,,,,,,,,,,
53,5.9345884,6.306732,,,,,,,,,,,,,,
54,5.2959576,6.2949576,,,,,,,,,,,,,,
55,5.0938644,6.2357416,,,,,,,,,,,,,,
