global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,3324.1685,31.196712,,,,,,,,,,,,,,
1,,,30.895857,2.8071913458134645,29.951494,2.573940160460334,5348.0,30.239141,2.687282919992688,2472.0,40.23155570030213,236.50531101226807,40.23155570030213,196.273695230484,0.0,0.0
1,3313.4575,32.114483,,,,,,,,,,,,,,
2,178.6882,15.820703,,,,,,,,,,,,,,
3,213.70767,14.323076,,,,,,,,,,,,,,
4,75.576385,35.213802,,,,,,,,,,,,,,
5,72.3839,17.777727,,,,,,,,,,,,,,
6,18.399214,9.935687,,,,,,,,,,,,,,
7,40.683804,10.7132435,,,,,,,,,,,,,,
8,12.159821,10.0626545,,,,,,,,,,,,,,
9,10.986172,9.68792,,,,,,,,,,,,,,
10,8.711224,9.878528,,,,,,,,,,,,,,
11,41.69617,11.748693,,,,,,,,,,,,,,
12,288.39517,12.526282,,,,,,,,,,,,,,
13,10.140883,10.453609,,,,,,,,,,,,,,
14,46.05556,13.157699,,,,,,,,,,,,,,
15,17.660526,12.64737,,,,,,,,,,,,,,
16,7.7590065,11.194345,,,,,,,,,,,,,,
17,27.71402,14.517934,,,,,,,,,,,,,,
18,8.571415,11.904938,,,,,,,,,,,,,,
19,27.740168,12.199606,,,,,,,,,,,,,,
20,8.686798,11.028548,,,,,,,,,,,,,,
21,19.210295,11.607694,,,,,,,,,,,,,,
22,20.370321,10.681381,,,,,,,,,,,,,,
23,18.63341,10.621926,,,,,,,,,,,,,,
24,28.671488,10.918842,,,,,,,,,,,,,,
25,31.817783,11.055864,,,,,,,,,,,,,,
26,14.858108,11.044894,,,,,,,,,,,,,,
27,10.6949005,10.7751045,,,,,,,,,,,,,,
28,13.786264,9.839906,,,,,,,,,,,,,,
29,18.405956,10.887712,,,,,,,,,,,,,,
30,38.288494,10.404262,,,,,,,,,,,,,,
31,87.47917,12.427943,,,,,,,,,,,,,,
32,73.542046,14.411886,,,,,,,,,,,,,,
33,55.702724,14.5736475,,,,,,,,,,,,,,
34,17.032578,14.402586,,,,,,,,,,,,,,
35,41.544674,15.358577,,,,,,,,,,,,,,
36,13.963292,14.454111,,,,,,,,,,,,,,
37,19.98211,15.080975,,,,,,,,,,,,,,
38,8.844076,13.660123,,,,,,,,,,,,,,
39,20.578804,13.403437,,,,,,,,,,,,,,
40,15.187794,12.825101,,,,,,,,,,,,,,
41,20.421377,12.829017,,,,,,,,,,,,,,
42,40.505432,13.821402,,,,,,,,,,,,,,
43,26.35345,13.726829,,,,,,,,,,,,,,
44,25.531948,14.188078,,,,,,,,,,,,,,
45,17.57447,13.475527,,,,,,,,,,,,,,
46,39.466618,15.8120165,,,,,,,,,,,,,,
47,38.842163,14.856213,,,,,,,,,,,,,,
48,15.161595,14.369713,,,,,,,,,,,,,,
49,22.923687,11.6354265,,,,,,,,,,,,,,
50,105.81872,15.523966,,,,,,,,,,,,,,
51,186.07996,52.653652,,,,,,,,,,,,,,
52,90.31532,22.097466,,,,,,,,,,,,,,
53,59.71247,31.999836,,,,,,,,,,,,,,
54,62.35195,27.091793,,,,,,,,,,,,,,
55,44.412582,21.545027,,,,,,,,,,,,,,
56,26.022947,16.28798,,,,,,,,,,,,,,
57,52.870667,21.139582,,,,,,,,,,,,,,
58,103.25663,23.959929,,,,,,,,,,,,,,
59,222.2839,34.39129,,,,,,,,,,,,,,
60,164.12326,41.19549,,,,,,,,,,,,,,
61,982.03595,53.350246,,,,,,,,,,,,,,
62,67.80566,43.819187,,,,,,,,,,,,,,
63,480.2226,33.4266,,,,,,,,,,,,,,
64,3198.761,229.37442,,,,,,,,,,,,,,
65,335.88208,117.92879,,,,,,,,,,,,,,
66,352.7521,70.72873,,,,,,,,,,,,,,
67,125.650185,104.094086,,,,,,,,,,,,,,
68,53.079163,78.818085,,,,,,,,,,,,,,
