global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,23.499956,33.00186,,,,,,,,,,,,,,
1,,,32.055508,4.979707640089124,30.983448,4.536721472913871,5348.0,30.985773,4.794020270956472,2472.0,41.9598753452301,305.00030064582825,41.9598753452301,263.0403838157654,0.0,0.0
1,25.16103,33.60686,,,,,,,,,,,,,,
2,62.71688,24.863888,,,,,,,,,,,,,,
3,17.548674,15.752157,,,,,,,,,,,,,,
4,15.157703,11.841825,,,,,,,,,,,,,,
5,7.8444076,11.047361,,,,,,,,,,,,,,
6,5.145332,9.473228,,,,,,,,,,,,,,
7,3.6674151,8.764813,,,,,,,,,,,,,,
8,12.089398,8.622018,,,,,,,,,,,,,,
9,5.127384,7.975786,,,,,,,,,,,,,,
10,8.583948,8.376331,,,,,,,,,,,,,,
11,3.6570485,7.980806,,,,,,,,,,,,,,
12,2.6028678,7.9094124,,,,,,,,,,,,,,
13,2.7939484,7.784537,,,,,,,,,,,,,,
14,1.8154862,7.3599725,,,,,,,,,,,,,,
15,2.4767714,7.4023147,,,,,,,,,,,,,,
16,1.9041462,7.079452,,,,,,,,,,,,,,
17,3.1997442,6.9544983,,,,,,,,,,,,,,
18,1.1838324,6.599829,,,,,,,,,,,,,,
19,3.2069397,6.457324,,,,,,,,,,,,,,
20,6.2298045,6.407444,,,,,,,,,,,,,,
21,29.910225,7.471305,,,,,,,,,,,,,,
22,18.424831,9.691553,,,,,,,,,,,,,,
23,9.509669,7.8978653,,,,,,,,,,,,,,
24,3.8549187,7.2542105,,,,,,,,,,,,,,
25,2.7349095,7.0746555,,,,,,,,,,,,,,
26,1.9005748,6.7841554,,,,,,,,,,,,,,
27,1.4566339,6.6000447,,,,,,,,,,,,,,
28,2.2356987,6.554972,,,,,,,,,,,,,,
29,1.5916053,6.3850236,,,,,,,,,,,,,,
