global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.9782217,0.74413353,,,,,,,,,,,,,,,,,
1,,,0.5693638920783997,0.7166677117347717,0.0225156131813239,0.566946268081665,0.7168007493019104,0.0261541061725516,43793.0,0.5636456608772278,0.7183514833450317,0.0284550804638885,43793.0,19.140517473220825,313.81607389450073,19.140517473220825,294.67551445961,0.0,0.0
1,3.0520213,0.7453024,,,,,,,,,,,,,,,,,
2,2.821494,0.72698593,,,,,,,,,,,,,,,,,
3,2.4331558,0.6961105,,,,,,,,,,,,,,,,,
4,1.9644283,0.6612959,,,,,,,,,,,,,,,,,
5,1.5702724,0.63138163,,,,,,,,,,,,,,,,,
6,1.3609601,0.6045154,,,,,,,,,,,,,,,,,
7,1.2089373,0.58116686,,,,,,,,,,,,,,,,,
8,1.0969566,0.55992264,,,,,,,,,,,,,,,,,
9,0.985344,0.5425265,,,,,,,,,,,,,,,,,
10,0.886202,0.5237691,,,,,,,,,,,,,,,,,
11,0.79550344,0.5072872,,,,,,,,,,,,,,,,,
12,0.7249507,0.49778596,,,,,,,,,,,,,,,,,
13,0.6658803,0.48291647,,,,,,,,,,,,,,,,,
14,0.6097846,0.4677921,,,,,,,,,,,,,,,,,
15,0.56404996,0.4575544,,,,,,,,,,,,,,,,,
16,0.52283907,0.44579718,,,,,,,,,,,,,,,,,
17,0.49451753,0.43868652,,,,,,,,,,,,,,,,,
18,0.4789762,0.42965177,,,,,,,,,,,,,,,,,
19,0.46923938,0.4235506,,,,,,,,,,,,,,,,,
20,0.4536764,0.41829544,,,,,,,,,,,,,,,,,
21,0.45122853,0.40754244,,,,,,,,,,,,,,,,,
22,0.43716884,0.40304118,,,,,,,,,,,,,,,,,
23,0.42721972,0.3957195,,,,,,,,,,,,,,,,,
24,0.41836566,0.387776,,,,,,,,,,,,,,,,,
25,0.41224232,0.38015494,,,,,,,,,,,,,,,,,
26,0.39741257,0.37432763,,,,,,,,,,,,,,,,,
27,0.39078233,0.3666104,,,,,,,,,,,,,,,,,
28,0.38492462,0.36014694,,,,,,,,,,,,,,,,,
29,0.37807262,0.35184073,,,,,,,,,,,,,,,,,
30,0.36628056,0.347866,,,,,,,,,,,,,,,,,
31,0.3600208,0.34272113,,,,,,,,,,,,,,,,,
32,0.35264,0.33317477,,,,,,,,,,,,,,,,,
33,0.34242594,0.33156148,,,,,,,,,,,,,,,,,
34,0.33855104,0.32090032,,,,,,,,,,,,,,,,,
35,0.33088505,0.31586057,,,,,,,,,,,,,,,,,
36,0.3210801,0.3105111,,,,,,,,,,,,,,,,,
37,0.3154592,0.30474108,,,,,,,,,,,,,,,,,
38,0.31124485,0.29733175,,,,,,,,,,,,,,,,,
39,0.30430135,0.2917615,,,,,,,,,,,,,,,,,
40,0.29569262,0.28793734,,,,,,,,,,,,,,,,,
41,0.2920107,0.27860993,,,,,,,,,,,,,,,,,
42,0.28554407,0.27264297,,,,,,,,,,,,,,,,,
43,0.2787462,0.2649596,,,,,,,,,,,,,,,,,
44,0.27155802,0.25931612,,,,,,,,,,,,,,,,,
45,0.26249847,0.25807333,,,,,,,,,,,,,,,,,
46,0.25762674,0.24734138,,,,,,,,,,,,,,,,,
47,0.2516808,0.24135715,,,,,,,,,,,,,,,,,
48,0.24630566,0.2335404,,,,,,,,,,,,,,,,,
49,0.23852958,0.23042805,,,,,,,,,,,,,,,,,
50,0.23451547,0.221125,,,,,,,,,,,,,,,,,
51,0.2260046,0.21503326,,,,,,,,,,,,,,,,,
52,0.21867794,0.21109244,,,,,,,,,,,,,,,,,
53,0.21294764,0.20316118,,,,,,,,,,,,,,,,,
54,0.20393401,0.2020022,,,,,,,,,,,,,,,,,
55,0.19762407,0.19535966,,,,,,,,,,,,,,,,,
56,0.19334549,0.18544908,,,,,,,,,,,,,,,,,
57,0.18164584,0.18675007,,,,,,,,,,,,,,,,,
58,0.1806677,0.17479211,,,,,,,,,,,,,,,,,
59,0.1750671,0.16695432,,,,,,,,,,,,,,,,,
60,0.16566458,0.16763958,,,,,,,,,,,,,,,,,
61,0.16095819,0.16152613,,,,,,,,,,,,,,,,,
62,0.15245077,0.15963154,,,,,,,,,,,,,,,,,
63,0.14984852,0.15318783,,,,,,,,,,,,,,,,,
64,0.1414685,0.15160419,,,,,,,,,,,,,,,,,
65,0.13758555,0.14162101,,,,,,,,,,,,,,,,,
66,0.1327187,0.13665436,,,,,,,,,,,,,,,,,
67,0.12544464,0.13565154,,,,,,,,,,,,,,,,,
68,0.1202605,0.1320684,,,,,,,,,,,,,,,,,
69,0.11363354,0.12937401,,,,,,,,,,,,,,,,,
70,0.11330893,0.11872394,,,,,,,,,,,,,,,,,
71,0.1068342,0.11688174,,,,,,,,,,,,,,,,,
72,0.100825526,0.11775195,,,,,,,,,,,,,,,,,
73,0.09694427,0.120566174,,,,,,,,,,,,,,,,,
74,0.09132358,0.11338182,,,,,,,,,,,,,,,,,
75,0.08931205,0.10647995,,,,,,,,,,,,,,,,,
76,0.08581336,0.10047241,,,,,,,,,,,,,,,,,
77,0.080477476,0.10589903,,,,,,,,,,,,,,,,,
78,0.07873204,0.09479234,,,,,,,,,,,,,,,,,
79,0.07570984,0.094534144,,,,,,,,,,,,,,,,,
80,0.069786325,0.09872948,,,,,,,,,,,,,,,,,
81,0.06814219,0.091885716,,,,,,,,,,,,,,,,,
82,0.06364983,0.0879215,,,,,,,,,,,,,,,,,
83,0.061799433,0.0889351,,,,,,,,,,,,,,,,,
84,0.05897764,0.08416337,,,,,,,,,,,,,,,,,
85,0.05582266,0.08480055,,,,,,,,,,,,,,,,,
86,0.051578056,0.08270678,,,,,,,,,,,,,,,,,
87,0.050433904,0.07922083,,,,,,,,,,,,,,,,,
88,0.048159774,0.07851473,,,,,,,,,,,,,,,,,
89,0.046261523,0.07668881,,,,,,,,,,,,,,,,,
90,0.04246956,0.07634029,,,,,,,,,,,,,,,,,
91,0.040041324,0.07761238,,,,,,,,,,,,,,,,,
92,0.03987054,0.07501246,,,,,,,,,,,,,,,,,
93,0.037790503,0.07458554,,,,,,,,,,,,,,,,,
94,0.034541894,0.0779222,,,,,,,,,,,,,,,,,
95,0.033666424,0.06929349,,,,,,,,,,,,,,,,,
96,0.032889638,0.069477595,,,,,,,,,,,,,,,,,
97,0.030682648,0.06840155,,,,,,,,,,,,,,,,,
98,0.0319261,0.07426387,,,,,,,,,,,,,,,,,
99,0.028735623,0.06867416,,,,,,,,,,,,,,,,,
100,0.02663981,0.067971416,,,,,,,,,,,,,,,,,
500,0.011785107,0.05819942,,,,,,,,,,,,,,,,,
784,,,0.9867364764213562,0.0537683926522731,0.0394422851903018,0.9840367436408995,0.0640401914715766,0.0389896036801912,43793.0,0.98302960395813,0.0673509985208511,0.0398170152009594,43793.0,259.38515639305115,669.91117811203,259.38515639305115,410.4786365032196,0.0285573005676269,0.0
1000,0.009132205,0.05530195,,,,,,,,,,,,,,,,,
1500,0.0061234008,0.050983112,,,,,,,,,,,,,,,,,
1569,,,0.9869202375411988,0.0504998080432415,0.0620151674338176,0.9842185974121094,0.0608874298632144,0.0664866053633787,43793.0,0.983212411403656,0.0642148107290268,0.0652801938168278,43793.0,499.51279520988464,1024.2972824573517,499.51279520988464,524.6848311424255,0.0579357147216796,0.0
2000,0.004256558,0.044983868,,,,,,,,,,,,,,,,,
