global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,1.5858082,0.744599,,,,,,,,,,,,,,,,,
1,,,0.4816736280918121,0.7414783835411072,0.0223506427073637,0.4935591220855713,0.734703004360199,0.0260793433526594,43793.0,0.4959306120872497,0.7337996363639832,0.0279783406591189,43793.0,18.38358187675476,311.3073809146881,18.38358187675476,292.9237585067749,0.0,0.0
1,1.5930555,0.74397737,,,,,,,,,,,,,,,,,
2,1.5796492,0.7421715,,,,,,,,,,,,,,,,,
3,1.5546896,0.74165666,,,,,,,,,,,,,,,,,
4,1.579384,0.7417573,,,,,,,,,,,,,,,,,
5,1.5644224,0.7371025,,,,,,,,,,,,,,,,,
6,1.5562651,0.7342454,,,,,,,,,,,,,,,,,
7,1.5455383,0.7330976,,,,,,,,,,,,,,,,,
8,1.5176216,0.72973347,,,,,,,,,,,,,,,,,
9,1.4973841,0.7271837,,,,,,,,,,,,,,,,,
10,1.4527948,0.7199042,,,,,,,,,,,,,,,,,
11,1.4634675,0.7172283,,,,,,,,,,,,,,,,,
12,1.4054881,0.7120018,,,,,,,,,,,,,,,,,
13,1.3926342,0.70498514,,,,,,,,,,,,,,,,,
14,1.3496374,0.7006832,,,,,,,,,,,,,,,,,
15,1.3480618,0.6967061,,,,,,,,,,,,,,,,,
16,1.3047669,0.69009185,,,,,,,,,,,,,,,,,
17,1.2615324,0.6846425,,,,,,,,,,,,,,,,,
18,1.1958135,0.6785288,,,,,,,,,,,,,,,,,
19,1.1570987,0.67181015,,,,,,,,,,,,,,,,,
20,1.1260781,0.66737634,,,,,,,,,,,,,,,,,
21,1.0830379,0.66287446,,,,,,,,,,,,,,,,,
22,1.027886,0.65627515,,,,,,,,,,,,,,,,,
23,0.9954558,0.6504624,,,,,,,,,,,,,,,,,
24,0.95768785,0.6444015,,,,,,,,,,,,,,,,,
25,0.93031025,0.6388584,,,,,,,,,,,,,,,,,
26,0.89910245,0.6341944,,,,,,,,,,,,,,,,,
27,0.87173253,0.6306541,,,,,,,,,,,,,,,,,
28,0.859362,0.6233629,,,,,,,,,,,,,,,,,
29,0.8288096,0.6208565,,,,,,,,,,,,,,,,,
30,0.80493784,0.61534226,,,,,,,,,,,,,,,,,
31,0.79787517,0.61121213,,,,,,,,,,,,,,,,,
32,0.7833451,0.6058764,,,,,,,,,,,,,,,,,
33,0.76471573,0.6031799,,,,,,,,,,,,,,,,,
34,0.7508149,0.5963149,,,,,,,,,,,,,,,,,
35,0.74204654,0.5917296,,,,,,,,,,,,,,,,,
36,0.72246796,0.5878733,,,,,,,,,,,,,,,,,
37,0.7075878,0.583516,,,,,,,,,,,,,,,,,
38,0.6826014,0.578114,,,,,,,,,,,,,,,,,
39,0.67513335,0.5748146,,,,,,,,,,,,,,,,,
40,0.66645676,0.56890047,,,,,,,,,,,,,,,,,
41,0.64970106,0.5653587,,,,,,,,,,,,,,,,,
42,0.6400761,0.56092274,,,,,,,,,,,,,,,,,
43,0.6334676,0.5577897,,,,,,,,,,,,,,,,,
44,0.62373656,0.55288523,,,,,,,,,,,,,,,,,
45,0.61087066,0.5498566,,,,,,,,,,,,,,,,,
46,0.6063224,0.54599327,,,,,,,,,,,,,,,,,
47,0.604573,0.5404599,,,,,,,,,,,,,,,,,
48,0.5974626,0.5389322,,,,,,,,,,,,,,,,,
49,0.5943118,0.5338807,,,,,,,,,,,,,,,,,
50,0.5948167,0.5286406,,,,,,,,,,,,,,,,,
51,0.5897965,0.52487355,,,,,,,,,,,,,,,,,
52,0.58154637,0.51996756,,,,,,,,,,,,,,,,,
53,0.5748085,0.51658845,,,,,,,,,,,,,,,,,
54,0.5707249,0.51077205,,,,,,,,,,,,,,,,,
55,0.5642226,0.5071837,,,,,,,,,,,,,,,,,
56,0.55761904,0.5030116,,,,,,,,,,,,,,,,,
57,0.5547828,0.49681494,,,,,,,,,,,,,,,,,
58,0.5452667,0.49063197,,,,,,,,,,,,,,,,,
59,0.5322953,0.4895503,,,,,,,,,,,,,,,,,
60,0.5182011,0.4858622,,,,,,,,,,,,,,,,,
61,0.5124896,0.47875494,,,,,,,,,,,,,,,,,
62,0.5052044,0.4776788,,,,,,,,,,,,,,,,,
63,0.4968521,0.473401,,,,,,,,,,,,,,,,,
64,0.48947328,0.4678302,,,,,,,,,,,,,,,,,
65,0.48626354,0.4633058,,,,,,,,,,,,,,,,,
66,0.47506994,0.46162188,,,,,,,,,,,,,,,,,
67,0.46946377,0.45844623,,,,,,,,,,,,,,,,,
68,0.46770698,0.45329455,,,,,,,,,,,,,,,,,
69,0.4597075,0.44975415,,,,,,,,,,,,,,,,,
70,0.45569593,0.449147,,,,,,,,,,,,,,,,,
71,0.4508603,0.4453665,,,,,,,,,,,,,,,,,
72,0.45104748,0.43964234,,,,,,,,,,,,,,,,,
73,0.44390848,0.435751,,,,,,,,,,,,,,,,,
74,0.43736535,0.43513614,,,,,,,,,,,,,,,,,
75,0.4293786,0.4335069,,,,,,,,,,,,,,,,,
76,0.42789808,0.43026456,,,,,,,,,,,,,,,,,
77,0.42334998,0.42591238,,,,,,,,,,,,,,,,,
78,0.4240427,0.42192325,,,,,,,,,,,,,,,,,
79,0.42074755,0.41859123,,,,,,,,,,,,,,,,,
80,0.41857922,0.4140985,,,,,,,,,,,,,,,,,
81,0.4135099,0.415421,,,,,,,,,,,,,,,,,
82,0.41093507,0.4128605,,,,,,,,,,,,,,,,,
83,0.40966868,0.40865833,,,,,,,,,,,,,,,,,
84,0.40464464,0.4061287,,,,,,,,,,,,,,,,,
85,0.40097794,0.40292147,,,,,,,,,,,,,,,,,
86,0.4027173,0.39785832,,,,,,,,,,,,,,,,,
87,0.39446548,0.39947525,,,,,,,,,,,,,,,,,
88,0.39520943,0.39534023,,,,,,,,,,,,,,,,,
89,0.39290297,0.39242363,,,,,,,,,,,,,,,,,
90,0.39022577,0.38814887,,,,,,,,,,,,,,,,,
91,0.38667426,0.3878024,,,,,,,,,,,,,,,,,
92,0.38494322,0.38606906,,,,,,,,,,,,,,,,,
93,0.3836311,0.3817733,,,,,,,,,,,,,,,,,
94,0.37936848,0.3788746,,,,,,,,,,,,,,,,,
95,0.3821841,0.37615523,,,,,,,,,,,,,,,,,
96,0.37607247,0.3767961,,,,,,,,,,,,,,,,,
97,0.37691784,0.37189853,,,,,,,,,,,,,,,,,
98,0.3737258,0.37062338,,,,,,,,,,,,,,,,,
99,0.3728449,0.36500007,,,,,,,,,,,,,,,,,
100,0.36743897,0.36528844,,,,,,,,,,,,,,,,,
500,0.01312905,0.062165726,,,,,,,,,,,,,,,,,
793,,,0.9868057370185852,0.0507830679416656,0.0516882416058989,0.9841329455375672,0.0609046965837478,0.0510654525759911,43793.0,0.9831559658050536,0.0642025992274284,0.0533159614295343,43793.0,258.375075340271,663.2159872055054,258.375075340271,404.7939808368683,0.0282289981842041,0.0
1000,0.039694455,0.059624676,,,,,,,,,,,,,,,,,
1500,0.061877575,0.058060627,,,,,,,,,,,,,,,,,
1595,,,0.9873453974723816,0.0468352660536766,0.093481256519076,0.9845287203788756,0.0564473718404769,0.0951122453155646,43793.0,0.9835472702980042,0.0597205869853496,0.0933856236146907,43793.0,498.4070701599121,1017.8797771930696,498.4070701599121,519.3789639472961,0.0562899112701416,0.0
2000,0.0131214745,0.04459566,,,,,,,,,,,,,,,,,
2399,,,0.9874485731124878,0.0454713441431522,0.124858723624022,0.984713852405548,0.0550043359398841,0.1196931239664118,43793.0,0.9836664795875548,0.0581773295998573,0.1181213983344024,43793.0,738.5130224227905,1373.3737497329712,738.5130224227905,634.7215549945831,0.0828323364257812,0.0
2500,0.019968502,0.037360013,,,,,,,,,,,,,,,,,
3000,0.009015146,0.040089928,,,,,,,,,,,,,,,,,
