global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.5856876,0.7348872,,,,,,,,,,,,,,,,,
1,,,0.507875919342041,0.7331976294517517,0.0207424175505862,0.5152865052223206,0.7278426289558411,0.0248399945543437,43793.0,0.5164411067962646,0.7269362807273865,0.0263277976369329,43793.0,19.459041833877563,317.75520968437195,19.459041833877563,298.296128988266,0.0,0.0
1,2.5951397,0.7349568,,,,,,,,,,,,,,,,,
2,2.6048524,0.7341509,,,,,,,,,,,,,,,,,
3,2.6073787,0.7358985,,,,,,,,,,,,,,,,,
4,2.5574818,0.7351156,,,,,,,,,,,,,,,,,
5,2.5962555,0.7321822,,,,,,,,,,,,,,,,,
6,2.5730848,0.7308613,,,,,,,,,,,,,,,,,
7,2.5843868,0.7333506,,,,,,,,,,,,,,,,,
8,2.5810344,0.730263,,,,,,,,,,,,,,,,,
9,2.5804133,0.729999,,,,,,,,,,,,,,,,,
10,2.598593,0.73062897,,,,,,,,,,,,,,,,,
11,2.5700364,0.7287654,,,,,,,,,,,,,,,,,
12,2.5720398,0.72820204,,,,,,,,,,,,,,,,,
13,2.5696034,0.7265944,,,,,,,,,,,,,,,,,
14,2.5178602,0.72573507,,,,,,,,,,,,,,,,,
15,2.5226393,0.7232972,,,,,,,,,,,,,,,,,
16,2.5343592,0.72272825,,,,,,,,,,,,,,,,,
17,2.5087469,0.7208111,,,,,,,,,,,,,,,,,
18,2.4870958,0.71795386,,,,,,,,,,,,,,,,,
19,2.4846845,0.71681786,,,,,,,,,,,,,,,,,
20,2.4972324,0.71566725,,,,,,,,,,,,,,,,,
21,2.4759052,0.7158354,,,,,,,,,,,,,,,,,
22,2.4723194,0.71095777,,,,,,,,,,,,,,,,,
23,2.473307,0.7111402,,,,,,,,,,,,,,,,,
24,2.427764,0.7073067,,,,,,,,,,,,,,,,,
25,2.4251394,0.7068485,,,,,,,,,,,,,,,,,
26,2.412983,0.70432055,,,,,,,,,,,,,,,,,
27,2.382512,0.70089316,,,,,,,,,,,,,,,,,
28,2.3310938,0.69785833,,,,,,,,,,,,,,,,,
29,2.3451667,0.69702476,,,,,,,,,,,,,,,,,
30,2.326696,0.6935286,,,,,,,,,,,,,,,,,
31,2.299617,0.69194204,,,,,,,,,,,,,,,,,
32,2.2816982,0.68831354,,,,,,,,,,,,,,,,,
33,2.265899,0.6857595,,,,,,,,,,,,,,,,,
34,2.2002401,0.68293226,,,,,,,,,,,,,,,,,
35,2.1884742,0.6817119,,,,,,,,,,,,,,,,,
36,2.1921377,0.67833173,,,,,,,,,,,,,,,,,
37,2.1560967,0.6754043,,,,,,,,,,,,,,,,,
38,2.1219773,0.6715859,,,,,,,,,,,,,,,,,
39,2.1062503,0.66816026,,,,,,,,,,,,,,,,,
40,2.0722003,0.6664137,,,,,,,,,,,,,,,,,
41,2.0133479,0.6633321,,,,,,,,,,,,,,,,,
42,1.9742318,0.66137475,,,,,,,,,,,,,,,,,
43,1.975535,0.6591185,,,,,,,,,,,,,,,,,
44,1.9484808,0.654542,,,,,,,,,,,,,,,,,
45,1.8850284,0.6507607,,,,,,,,,,,,,,,,,
46,1.8485754,0.64921206,,,,,,,,,,,,,,,,,
47,1.8129077,0.647405,,,,,,,,,,,,,,,,,
48,1.8084881,0.64303064,,,,,,,,,,,,,,,,,
49,1.7692606,0.6405508,,,,,,,,,,,,,,,,,
50,1.7339687,0.6390498,,,,,,,,,,,,,,,,,
51,1.7001685,0.633525,,,,,,,,,,,,,,,,,
52,1.6730489,0.6329694,,,,,,,,,,,,,,,,,
53,1.6514999,0.62936825,,,,,,,,,,,,,,,,,
54,1.6146387,0.6254039,,,,,,,,,,,,,,,,,
55,1.5964582,0.62360734,,,,,,,,,,,,,,,,,
56,1.5583625,0.62179095,,,,,,,,,,,,,,,,,
57,1.5348516,0.61902165,,,,,,,,,,,,,,,,,
58,1.5238234,0.61656183,,,,,,,,,,,,,,,,,
59,1.489784,0.6138804,,,,,,,,,,,,,,,,,
60,1.4719546,0.60960215,,,,,,,,,,,,,,,,,
61,1.4555973,0.6093349,,,,,,,,,,,,,,,,,
62,1.4307905,0.6094678,,,,,,,,,,,,,,,,,
63,1.4385068,0.60410434,,,,,,,,,,,,,,,,,
64,1.4044603,0.60270935,,,,,,,,,,,,,,,,,
65,1.4011378,0.59953916,,,,,,,,,,,,,,,,,
66,1.3630896,0.5983027,,,,,,,,,,,,,,,,,
67,1.3668076,0.59528315,,,,,,,,,,,,,,,,,
68,1.3544543,0.59284544,,,,,,,,,,,,,,,,,
69,1.3431392,0.5902221,,,,,,,,,,,,,,,,,
70,1.3494351,0.58707947,,,,,,,,,,,,,,,,,
71,1.324476,0.5855587,,,,,,,,,,,,,,,,,
72,1.3228248,0.58524185,,,,,,,,,,,,,,,,,
73,1.3181999,0.58222336,,,,,,,,,,,,,,,,,
74,1.2987976,0.5800387,,,,,,,,,,,,,,,,,
75,1.2956146,0.57770884,,,,,,,,,,,,,,,,,
76,1.2715346,0.57494783,,,,,,,,,,,,,,,,,
77,1.2667779,0.57412755,,,,,,,,,,,,,,,,,
78,1.2372283,0.5715525,,,,,,,,,,,,,,,,,
79,1.2540754,0.56882,,,,,,,,,,,,,,,,,
80,1.2425961,0.567879,,,,,,,,,,,,,,,,,
81,1.2182984,0.56549835,,,,,,,,,,,,,,,,,
82,1.216607,0.5661355,,,,,,,,,,,,,,,,,
83,1.2128452,0.5609288,,,,,,,,,,,,,,,,,
84,1.2031422,0.56201947,,,,,,,,,,,,,,,,,
85,1.1776878,0.5599151,,,,,,,,,,,,,,,,,
86,1.1738285,0.55801094,,,,,,,,,,,,,,,,,
87,1.152545,0.5562849,,,,,,,,,,,,,,,,,
88,1.1557018,0.55369973,,,,,,,,,,,,,,,,,
89,1.1610515,0.5502021,,,,,,,,,,,,,,,,,
90,1.1408683,0.55058056,,,,,,,,,,,,,,,,,
91,1.1443822,0.545797,,,,,,,,,,,,,,,,,
92,1.1070435,0.54565716,,,,,,,,,,,,,,,,,
93,1.125377,0.5439496,,,,,,,,,,,,,,,,,
94,1.1082888,0.5410804,,,,,,,,,,,,,,,,,
95,1.089565,0.54181194,,,,,,,,,,,,,,,,,
96,1.0809242,0.53873426,,,,,,,,,,,,,,,,,
97,1.0675049,0.538095,,,,,,,,,,,,,,,,,
98,1.0691167,0.5345483,,,,,,,,,,,,,,,,,
99,1.0650553,0.5328261,,,,,,,,,,,,,,,,,
100,1.0547466,0.53010404,,,,,,,,,,,,,,,,,
500,0.24669571,0.2526741,,,,,,,,,,,,,,,,,
812,,,0.986688494682312,0.1224810481071472,0.0275060304014463,0.9839299917221068,0.1292034238576889,0.0277189875060772,43793.0,0.982894003391266,0.1319504380226135,0.0286777142953646,43793.0,259.4525671005249,668.7071697711945,259.4525671005249,409.2036776542664,0.0307605266571044,0.0
1000,0.05629435,0.088054046,,,,,,,,,,,,,,,,,
1500,0.0156111475,0.05275982,,,,,,,,,,,,,,,,,
1625,,,0.9867749214172364,0.0577390640974044,0.0313294710855236,0.9841179251670836,0.0670763924717903,0.0309528853074721,43793.0,0.983142077922821,0.0702560469508171,0.0331298873826847,43793.0,499.5041480064392,1023.6299650669098,499.5041480064392,524.0296378135681,0.0560634136199951,0.0
2000,0.01003852,0.06512262,,,,,,,,,,,,,,,,,
2405,,,0.9867736101150512,0.0553527995944023,0.0356558902360702,0.9841179251670836,0.0652495175600051,0.0334255075547028,43793.0,0.983142077922821,0.0686032995581626,0.0353765593490923,43793.0,739.7390007972717,1379.478887796402,739.7390007972717,639.5985925197601,0.0816931724548339,0.0
2500,0.011136711,0.051414214,,,,,,,,,,,,,,,,,
3000,0.059668068,0.049432058,,,,,,,,,,,,,,,,,
3226,,,0.9868510365486144,0.0520760603249073,0.0452420654486133,0.984256386756897,0.0611661411821842,0.0483539994337955,43793.0,0.9832292795181274,0.064273715019226,0.0503669721638503,43793.0,979.8202588558196,1741.642778635025,979.8202588558196,761.6270353794098,0.1104311943054199,0.0
3500,0.08547609,0.04391525,,,,,,,,,,,,,,,,,
4000,0.08600068,0.054794986,,,,,,,,,,,,,,,,,
4045,,,0.9872231483459472,0.047545488923788,0.0863844289944058,0.9845835566520692,0.0568902716040611,0.0855413228743104,43793.0,0.9836074709892272,0.060149323195219,0.0891304056257642,43793.0,1219.7688448429108,2098.676433801651,1219.7688448429108,878.657918214798,0.1399815082550048,0.0
4500,0.040148392,0.04473709,,,,,,,,,,,,,,,,,
