global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,3.8800957,10.951294,,,,,,,,,,,,,,,,,
1,,,0.0006656643818132,11.016271591186523,0.0,0.0004835649742744,11.048277854919434,0.0,3000.0,0.0007088489946909,11.05020236968994,0.0,3003.0,37.95417833328247,912.7569696903228,37.95417833328247,874.8027560710907,0.0,0.0
1,3.8100233,10.94925,,,,,,,,,,,,,,,,,
2,3.9242654,10.9475565,,,,,,,,,,,,,,,,,
3,3.851276,10.941406,,,,,,,,,,,,,,,,,
4,3.860316,10.940238,,,,,,,,,,,,,,,,,
5,3.886275,10.9359,,,,,,,,,,,,,,,,,
6,3.8728242,10.933978,,,,,,,,,,,,,,,,,
7,3.8668149,10.929249,,,,,,,,,,,,,,,,,
8,3.886299,10.934145,,,,,,,,,,,,,,,,,
9,3.8552558,10.92587,,,,,,,,,,,,,,,,,
10,3.8534331,10.926675,,,,,,,,,,,,,,,,,
11,3.8892472,10.905634,,,,,,,,,,,,,,,,,
12,3.8704197,10.896669,,,,,,,,,,,,,,,,,
13,3.870349,10.905117,,,,,,,,,,,,,,,,,
14,3.7984,10.9003,,,,,,,,,,,,,,,,,
15,3.8555434,10.866814,,,,,,,,,,,,,,,,,
16,3.8869717,10.877819,,,,,,,,,,,,,,,,,
17,3.8156598,10.864459,,,,,,,,,,,,,,,,,
18,3.8278208,10.851327,,,,,,,,,,,,,,,,,
19,3.8147602,10.841156,,,,,,,,,,,,,,,,,
20,3.8078098,10.829073,,,,,,,,,,,,,,,,,
21,3.7707524,10.824993,,,,,,,,,,,,,,,,,
22,3.8243074,10.817567,,,,,,,,,,,,,,,,,
23,3.7808466,10.802171,,,,,,,,,,,,,,,,,
24,3.7537975,10.787948,,,,,,,,,,,,,,,,,
25,3.7716033,10.775052,,,,,,,,,,,,,,,,,
26,3.6828804,10.770214,,,,,,,,,,,,,,,,,
27,3.7616868,10.740084,,,,,,,,,,,,,,,,,
28,3.712634,10.734021,,,,,,,,,,,,,,,,,
29,3.6885107,10.729748,,,,,,,,,,,,,,,,,
30,3.7105172,10.691324,,,,,,,,,,,,,,,,,
31,3.627602,10.686701,,,,,,,,,,,,,,,,,
32,3.703367,10.658165,,,,,,,,,,,,,,,,,
33,3.6020203,10.658915,,,,,,,,,,,,,,,,,
34,3.5899153,10.635048,,,,,,,,,,,,,,,,,
35,3.555273,10.625648,,,,,,,,,,,,,,,,,
36,3.5306792,10.605649,,,,,,,,,,,,,,,,,
37,3.5009382,10.593343,,,,,,,,,,,,,,,,,
38,3.451315,10.5807085,,,,,,,,,,,,,,,,,
39,3.516315,10.537444,,,,,,,,,,,,,,,,,
40,3.4463825,10.534125,,,,,,,,,,,,,,,,,
41,3.3979783,10.525579,,,,,,,,,,,,,,,,,
42,3.355221,10.483878,,,,,,,,,,,,,,,,,
43,3.3486984,10.4689455,,,,,,,,,,,,,,,,,
44,3.3651042,10.436838,,,,,,,,,,,,,,,,,
45,3.277833,10.421599,,,,,,,,,,,,,,,,,
46,3.2986834,10.393053,,,,,,,,,,,,,,,,,
47,3.2081487,10.398852,,,,,,,,,,,,,,,,,
48,3.1963444,10.372409,,,,,,,,,,,,,,,,,
49,3.1979997,10.334797,,,,,,,,,,,,,,,,,
50,3.1333752,10.324445,,,,,,,,,,,,,,,,,
51,3.0681198,10.305676,,,,,,,,,,,,,,,,,
52,3.0316842,10.291915,,,,,,,,,,,,,,,,,
53,3.0223322,10.267257,,,,,,,,,,,,,,,,,
54,2.960068,10.247433,,,,,,,,,,,,,,,,,
