global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.891828,11.333498,,,,,,,,,,,,,,,,,
1,,,0.0006544577772729,11.358758926391602,5.226550070522235e-11,0.0004835649742744,11.346352577209473,0.0,3000.0,0.0007088489946909,11.35776138305664,5.348545640066251e-10,3003.0,40.46516227722168,940.335393190384,40.46516227722168,899.8701910972595,0.0,0.0
1,4.928853,11.34941,,,,,,,,,,,,,,,,,
2,4.9568033,11.34736,,,,,,,,,,,,,,,,,
3,4.9522023,11.348329,,,,,,,,,,,,,,,,,
4,4.851202,11.3427305,,,,,,,,,,,,,,,,,
5,4.935704,11.341319,,,,,,,,,,,,,,,,,
6,5.0598,11.338922,,,,,,,,,,,,,,,,,
7,4.937539,11.348923,,,,,,,,,,,,,,,,,
8,4.9608693,11.329136,,,,,,,,,,,,,,,,,
9,4.946765,11.321492,,,,,,,,,,,,,,,,,
10,5.00036,11.317741,,,,,,,,,,,,,,,,,
11,4.9388366,11.313532,,,,,,,,,,,,,,,,,
12,4.959665,11.326832,,,,,,,,,,,,,,,,,
13,4.933538,11.315605,,,,,,,,,,,,,,,,,
14,4.931575,11.301753,,,,,,,,,,,,,,,,,
15,4.9542704,11.2887335,,,,,,,,,,,,,,,,,
16,4.8881936,11.268339,,,,,,,,,,,,,,,,,
17,4.8573008,11.281707,,,,,,,,,,,,,,,,,
18,4.9315276,11.265698,,,,,,,,,,,,,,,,,
19,4.91608,11.2491045,,,,,,,,,,,,,,,,,
20,4.838978,11.250122,,,,,,,,,,,,,,,,,
21,4.9319625,11.228232,,,,,,,,,,,,,,,,,
22,4.814471,11.2234535,,,,,,,,,,,,,,,,,
23,4.9004736,11.224019,,,,,,,,,,,,,,,,,
24,4.8553915,11.197374,,,,,,,,,,,,,,,,,
25,4.8604465,11.190915,,,,,,,,,,,,,,,,,
26,4.8102627,11.1741495,,,,,,,,,,,,,,,,,
27,4.83432,11.17042,,,,,,,,,,,,,,,,,
28,4.724492,11.161097,,,,,,,,,,,,,,,,,
29,4.8001304,11.146551,,,,,,,,,,,,,,,,,
30,4.8001246,11.124099,,,,,,,,,,,,,,,,,
31,4.767819,11.104073,,,,,,,,,,,,,,,,,
32,4.8009233,11.088464,,,,,,,,,,,,,,,,,
33,4.7400646,11.077943,,,,,,,,,,,,,,,,,
34,4.673196,11.056445,,,,,,,,,,,,,,,,,
35,4.660493,11.046881,,,,,,,,,,,,,,,,,
36,4.658014,11.023341,,,,,,,,,,,,,,,,,
37,4.599601,11.027149,,,,,,,,,,,,,,,,,
38,4.592247,11.001837,,,,,,,,,,,,,,,,,
39,4.6013694,10.980297,,,,,,,,,,,,,,,,,
40,4.586016,10.965606,,,,,,,,,,,,,,,,,
41,4.434517,10.93646,,,,,,,,,,,,,,,,,
42,4.488582,10.92206,,,,,,,,,,,,,,,,,
43,4.4836917,10.896872,,,,,,,,,,,,,,,,,
44,4.448193,10.883014,,,,,,,,,,,,,,,,,
45,4.3444953,10.84822,,,,,,,,,,,,,,,,,
46,4.243571,10.861102,,,,,,,,,,,,,,,,,
47,4.2637334,10.8020315,,,,,,,,,,,,,,,,,
48,4.16659,10.804454,,,,,,,,,,,,,,,,,
49,4.1642046,10.789913,,,,,,,,,,,,,,,,,
50,4.247449,10.756762,,,,,,,,,,,,,,,,,
51,4.1446195,10.741448,,,,,,,,,,,,,,,,,
52,4.047867,10.702183,,,,,,,,,,,,,,,,,
53,3.9308767,10.708313,,,,,,,,,,,,,,,,,
54,3.9335153,10.683755,,,,,,,,,,,,,,,,,
55,3.8693328,10.67007,,,,,,,,,,,,,,,,,
56,3.875615,10.620833,,,,,,,,,,,,,,,,,
57,3.7560468,10.621613,,,,,,,,,,,,,,,,,
58,3.7659872,10.582074,,,,,,,,,,,,,,,,,
59,3.657393,10.566437,,,,,,,,,,,,,,,,,
60,3.61586,10.550177,,,,,,,,,,,,,,,,,
61,3.6208146,10.518014,,,,,,,,,,,,,,,,,
62,3.537635,10.49148,,,,,,,,,,,,,,,,,
63,3.4885006,10.4779415,,,,,,,,,,,,,,,,,
64,3.4404006,10.44771,,,,,,,,,,,,,,,,,
65,3.4149923,10.434617,,,,,,,,,,,,,,,,,
66,3.34197,10.415789,,,,,,,,,,,,,,,,,
67,3.3193164,10.378749,,,,,,,,,,,,,,,,,
68,3.2712996,10.354729,,,,,,,,,,,,,,,,,
69,3.2138402,10.332632,,,,,,,,,,,,,,,,,
70,3.1604404,10.322366,,,,,,,,,,,,,,,,,
71,3.0904217,10.293694,,,,,,,,,,,,,,,,,
72,3.0693078,10.269302,,,,,,,,,,,,,,,,,
73,3.0460854,10.247277,,,,,,,,,,,,,,,,,
74,3.0002308,10.212929,,,,,,,,,,,,,,,,,
75,2.9252977,10.194173,,,,,,,,,,,,,,,,,
76,2.901737,10.166896,,,,,,,,,,,,,,,,,
77,2.8691142,10.156018,,,,,,,,,,,,,,,,,
78,2.7776084,10.15406,,,,,,,,,,,,,,,,,
79,2.7198782,10.121977,,,,,,,,,,,,,,,,,
80,2.715446,10.070885,,,,,,,,,,,,,,,,,
81,2.68178,10.066719,,,,,,,,,,,,,,,,,
82,2.6293905,10.036456,,,,,,,,,,,,,,,,,
83,2.5653093,10.0278425,,,,,,,,,,,,,,,,,
84,2.5007012,10.015625,,,,,,,,,,,,,,,,,
85,2.496293,9.968264,,,,,,,,,,,,,,,,,
86,2.4398766,9.958874,,,,,,,,,,,,,,,,,
87,2.4185715,9.941147,,,,,,,,,,,,,,,,,
88,2.3907754,9.897235,,,,,,,,,,,,,,,,,
89,2.33518,9.886873,,,,,,,,,,,,,,,,,
90,2.2545304,9.888429,,,,,,,,,,,,,,,,,
91,2.243775,9.853008,,,,,,,,,,,,,,,,,
92,2.1995199,9.814516,,,,,,,,,,,,,,,,,
93,2.1372497,9.813845,,,,,,,,,,,,,,,,,
94,2.1371372,9.786354,,,,,,,,,,,,,,,,,
95,2.1123142,9.764136,,,,,,,,,,,,,,,,,
96,2.0389588,9.75752,,,,,,,,,,,,,,,,,
97,1.9952301,9.725933,,,,,,,,,,,,,,,,,
98,1.9460717,9.709467,,,,,,,,,,,,,,,,,
99,1.923295,9.7041025,,,,,,,,,,,,,,,,,
100,1.8872144,9.675519,,,,,,,,,,,,,,,,,
500,0.45642325,7.798637,,,,,,,,,,,,,,,,,
1000,0.41461915,7.108961,,,,,,,,,,,,,,,,,
1500,0.47362152,6.554515,,,,,,,,,,,,,,,,,
2000,0.42026255,6.1055317,,,,,,,,,,,,,,,,,
2130,,,0.2709395587444305,5.799288272857666,4.126816278480495,0.253896415233612,6.011801242828369,2.116802980749451,3000.0,0.2344430983066558,6.295222759246826,1.4699774535962755,3003.0,880.7291378974915,2627.456573486328,880.7291378974915,1746.6372668743134,0.0270211696624755,0.0
2500,0.44855684,5.563992,,,,,,,,,,,,,,,,,
3000,0.45834708,5.2567167,,,,,,,,,,,,,,,,,
3500,0.43923333,4.892746,,,,,,,,,,,,,,,,,
4000,0.47404677,4.696597,,,,,,,,,,,,,,,,,
4262,,,0.3757393658161163,4.322761535644531,10.870818743029048,0.3526924550533294,4.538534641265869,6.342824093268732,3000.0,0.3332636058330536,4.799701690673828,4.822614706678366,3003.0,1720.8505008220673,4295.177495479584,1720.8505008220673,2574.149696111679,0.0551455020904541,0.0
4500,0.56665695,4.335623,,,,,,,,,,,,,,,,,
