global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,7.2136993,10.68743,,,,,,,,,,,,,,,,,
1,,,4.553837788989768e-05,10.680941581726074,0.0,4.959640864399262e-05,10.719841003417969,0.0,3000.0,3.4861426684074104e-05,10.719524383544922,0.0,3003.0,37.026495695114136,910.1514933109283,37.026495695114136,873.1249454021454,0.0,0.0
1,7.0981054,10.706395,,,,,,,,,,,,,,,,,
2,7.3927307,10.703821,,,,,,,,,,,,,,,,,
3,7.246447,10.69084,,,,,,,,,,,,,,,,,
4,6.9925995,10.702345,,,,,,,,,,,,,,,,,
5,7.122506,10.69026,,,,,,,,,,,,,,,,,
6,7.341055,10.687487,,,,,,,,,,,,,,,,,
7,7.191071,10.6857,,,,,,,,,,,,,,,,,
8,7.3742595,10.679591,,,,,,,,,,,,,,,,,
9,7.173933,10.676325,,,,,,,,,,,,,,,,,
10,7.1848726,10.661117,,,,,,,,,,,,,,,,,
11,7.333925,10.649279,,,,,,,,,,,,,,,,,
12,7.0896187,10.639478,,,,,,,,,,,,,,,,,
13,7.2428417,10.609759,,,,,,,,,,,,,,,,,
14,7.0840282,10.612539,,,,,,,,,,,,,,,,,
15,7.1773005,10.586563,,,,,,,,,,,,,,,,,
16,7.176006,10.572297,,,,,,,,,,,,,,,,,
17,7.082228,10.564882,,,,,,,,,,,,,,,,,
18,7.067374,10.538495,,,,,,,,,,,,,,,,,
19,6.9737177,10.52759,,,,,,,,,,,,,,,,,
20,6.9857907,10.500926,,,,,,,,,,,,,,,,,
21,6.9616423,10.483687,,,,,,,,,,,,,,,,,
22,7.0071363,10.467529,,,,,,,,,,,,,,,,,
23,6.7427573,10.442947,,,,,,,,,,,,,,,,,
24,6.728331,10.4283,,,,,,,,,,,,,,,,,
25,6.7381916,10.398856,,,,,,,,,,,,,,,,,
26,6.83586,10.363613,,,,,,,,,,,,,,,,,
27,6.5561547,10.353246,,,,,,,,,,,,,,,,,
28,6.4492264,10.327702,,,,,,,,,,,,,,,,,
29,6.496508,10.288636,,,,,,,,,,,,,,,,,
30,6.4283533,10.276586,,,,,,,,,,,,,,,,,
